"dataset","lon","lat","landcover"
"CC",-78.6668,38.2563,5
"CC",-80.1508,37.5955,5
"CC",-79.2448,37.727,17
"CC",-83.8522,35.4416,5
"CC",-84.0661,35.322,6
"CC",-83.0409,35.7373,5
"CC",-82.0275,36.2383,17
"CC",-81.8331,35.8795,6
"CC",-81.8046,35.919,17
"CC",-84.703345298767,34.153579319926,1
"CC",-80.3473,32.6824,3
"CC",-72.7024,41.7409,17
"CC",-72.6827,41.8136,17
"CC",-78.435118901427,42.499709404604,15
"CC",-79.154017733419,43.825999432243,5
"CC",-82.604872412239,35.494777512753,6
"CC",-82.608557106741,35.49769849481,17
"CC",-82.608926665321,35.496032261155,10
"CC",-84.938069259433,32.533984721365,17
"CC",-86.387142745541,35.83823893534,17
"CC",-83.888841569424,35.997103468522,17
"CC",-83.689454197884,35.947412755256,17
"CC",-90.370217536849,38.620014528971,17
"CC",-83.458333,35.025,6
"CC",-83.291667,35.075,5
"CC",-83.475,35.041667,5
"CC",-90.370020348763,38.620284726181,17
"CC",-82.607685261996,35.498639751224,16
"CC",-122.60038375854,37.961387971888,5
"CC",-77.135448978811,38.337043666036,6
"CC",-84.321870803833,33.77615094252,5
"CC",-75.738949553411,43.331620146359,17
"CC",-90.376199371614,38.624382910368,17
"CC",-76.690374462042,39.488104581379,5
"CC",-77.196108988279,38.960295138556,5
"CC",-95.184804093676,43.380076993568,17
"CC",-77.246021979731,39.018431674248,17
"CC",-71.098000215491,42.383419320081,17
"CC",-81.07626914978,34.008771519018,18
"CC",-71.185823360856,42.403868405641,6
"CC",-79.953028498109,40.446057779979,17
"CC",-71.123832,42.455492,1
"CC",-77.536615166805,38.624745668198,6
"CC",-75.249220500715,40.054953538319,5
"CC",-75.267440828078,40.174246114537,5
"CC",-71.145097454995,42.387327000031,10
"CC",-84.527592028662,42.717998528105,17
"CC",-75.244872563774,40.156541404112,15
"CC",-79.839792251587,44.731297544032,5
"CC",-77.87104292809,34.224260900282,14
"iNat",-83.8342971802,34.2433013916,5
"iNat",-75.1181030273,40.9739990234,5
"iNat",-74.0266036987,40.7369995117,18
"iNat",-83.543226,34.927592,6
"iNat",-83.8296966553,34.2939987183,17
"iNat",-81.8478469849,43.2490158081,17
"iNat",-78.6870117188,45.8007774353,14
"iNat",-81.792009,36.117683,6
"iNat",-80.3223109,26.0757882,17
"iNat",-83.7263294,42.2708716,17
"iNat",-78.296944,38.741432,5
"iNat",-79.3550205,38.3139153,5
"iNat",-93.3044815063,44.9438426895,17
"iNat",-93.3032798767,44.9416556148,17
"iNat",-95.9164381027,41.1810506384,5
"iNat",-76.6441591,40.0139669,5
"iNat",-85.7118988037,38.4242286682,5
"iNat",-81.220253,37.36697,5
"iNat",-77.2491365,38.9891053,5
"iNat",-76.7322092,39.8816396,6
"iNat",-77.8990530968,40.2903454029,17
"iNat",-96.3502693176,41.2177325823,10
"iNat",-95.9171676636,41.179842626,17
"iNat",-85.3566455841,42.3138458316,17
"iNat",-73.076367,43.95725,17
"iNat",-77.1967649,38.9667833,5
"iNat",-89.5426869,43.2874962,17
"iNat",-78.8588281,43.9142835,17
"iNat",-76.699848175,39.8885334543,18
"iNat",-90.032787323,35.3649758421,6
"iNat",-76.7006635666,39.8845819006,6
"iNat",-89.998497963,35.3703651509,6
"iNat",-89.2460632324,44.0594658494,18
"iNat",-90.2519077063,38.3044233185,5
"iNat",-95.8840370178,41.0069517439,17
"iNat",-79.76212,41.96285,17
"iNat",-73.1483154297,44.0050926208,17
"iNat",-90.2515992522,38.3045841255,5
"iNat",-90.2521598339,38.3044342635,5
"iNat",-90.2500784397,38.3048670102,17
"iNat",-73.1093826294,43.866973877,15
"iNat",-80.201728,40.809509,17
"iNat",-90.2519881725,38.304407322,5
"iNat",-90.2517521381,38.3046051735,5
"iNat",-97.772055,30.268056,17
"iNat",-73.1923141479,44.0240936279,17
"iNat",-89.0787148476,38.1403842505,5
"iNat",-89.0788757801,38.1407428743,15
"iNat",-91.6600942612,30.4268580378,14
"iNat",-71.6851043701,41.3690794442,5
"iNat",-90.2520890684,38.3043116585,5
"iNat",-86.825723,45.40538,16
"iNat",-95.8839082718,41.0070488994,17
"iNat",-73.1034648866,43.9703092158,5
"iNat",-72.5553846359,41.3179797486,17
"iNat",-75.69844,45.439161,1
"iNat",-78.4767150879,45.5705653898,6
"iNat",-73.1615066528,44.0270576477,5
"iNat",-80.403807,40.501269,5
"iNat",-84.4685060529,42.7400865534,17
"iNat",-84.2683714628,30.4802590384,17
"iNat",-73.1579589844,44.0007178343,15
"iNat",-73.1788265705,44.0351668461,1
"iNat",-89.0191268921,37.3111986138,15
"iNat",-88.9653226,37.3728746,14
"iNat",-73.1889224053,44.052541919,17
"iNat",-73.1807845831,44.0201205291,17
"iNat",-97.81978,30.50134,17
"iNat",-74.402155,40.419728,17
"iNat",-72.522645,43.819793,17
"iNat",-72.522532,43.819719,17
"iNat",-71.586227417,41.3785474915,5
"iNat",-71.6894602776,41.3741678858,5
"iNat",-84.3134418,30.5005463,14
"iNat",-71.5841031075,41.3810430907,5
"iNat",-77.5890665519,37.4414565516,17
"iNat",-71.7851671116,41.5735113868,6
"iNat",-71.6855427087,41.3704245835,5
"iNat",-83.513951,35.676102,6
"iNat",-83.464169,35.625049,6
"iNat",-75.1463593704,40.0896175474,17
"iNat",-84.2683866919,30.480294145,17
"iNat",-81.3096828,40.9806547,5
"iNat",-81.3550663,41.0604213,18
"iNat",-81.5042820766,39.4297480242,6
"iNat",-74.434937,40.498079,17
"iNat",-96.682285,32.9877563,17
"iNat",-81.6316027861,41.0848821006,5
"iNat",-75.987732,40.643151,5
"iNat",-75.210653,40.047607,5
"iNat",-82.120675724,27.4030869949,15
"iNat",-81.4436856105,39.4262259623,6
"iNat",-89.9898974598,38.8369932957,17
"iNat",-76.9664054364,38.9092126954,17
"iNat",-90.2521280737,38.3045788902,5
"iNat",-81.3312195,40.9636685,17
"iNat",-82.0870425625,29.2871457674,15
"iNat",-90.2520556541,38.3044231348,5
"iNat",-83.5070203,38.8907822,6
"iNat",-81.4277271566,41.1268627568,5
"iNat",-81.4234342,41.1314843,17
"iNat",-82.1509861,27.83473,14
"iNat",-82.0189155,28.3693618,3
"iNat",-97.722339,30.421374,17
"iNat",-95.9161950162,41.1798106681,5
"iNat",-81.4332203207,41.129448802,5
"iNat",-76.3662307893,39.902138444,17
"iNat",-97.7430608,30.267153,17
"iNat",-81.618614,40.946409,5
"iNat",-81.525,41.2175,17
"iNat",-81.7991216,41.2205165,15
"iNat",-82.122866,27.5903135,17
"iNat",-82.6523952,27.7284135,17
"iNat",-95.7371592522,33.7124796841,17
"iNat",-78.3074027,38.8438978,5
"iNat",-82.1747222,27.8502778,17
"iNat",-73.1800979264,44.0275619038,18
"iNat",-73.1801408417,44.0276062598,17
"iNat",-90.2518035265,38.3043073578,5
"iNat",-81.5229558,41.2187742,5
"iNat",-80.4970050428,40.7699101747,5
"iNat",-88.2688602577,41.1977271514,5
"iNat",-71.508636,42.439262,15
"iNat",-81.441779,41.101445,17
"iNat",-76.944599,38.912336,17
"iNat",-77.015234,38.888314,17
"iNat",-73.4103150438,43.6627898158,6
"iNat",-73.1800552182,44.0205198385,17
"iNat",-81.3984346,41.0100054,15
"iNat",-81.7895714678,41.0075461647,5
"iNat",-76.5029446183,39.9800611899,15
"iNat",-83.025334,42.332822,18
"iNat",-81.615784358,41.1036467142,17
"iNat",-81.7084729235,41.108355289,5
"iNat",-78.6698483343,36.0996620401,6
"iNat",-77.268412,40.091787,5
"iNat",-82.02817,41.03537,15
"iNat",-77.271459,40.083415,5
"iNat",-75.1825768034,45.3026008145,15
"iNat",-93.142258,44.474248,15
"iNat",-76.701882882,38.7859960785,14
"iNat",-76.7016176786,38.7857553083,5
"iNat",-81.6005468347,41.1578632141,6
"iNat",-93.139938,44.473903,6
"iNat",-93.147674,44.461553,6
"iNat",-81.4202584645,41.1319853072,17
"iNat",-81.468125,41.079445,17
"iNat",-76.4369057255,39.9299123918,5
"iNat",-73.1806613975,44.0194705879,5
"iNat",-90.2520717474,38.3046272881,5
"iNat",-75.3690412547,37.8958696646,14
"iNat",-75.3738277176,37.8960777615,14
"iNat",-75.3678032477,37.8968656873,14
"iNat",-75.9390026238,38.9532973658,6
"iNat",-81.6868333333,40.9938333333,17
"iNat",-81.4361038732,41.1026219049,17
"iNat",-73.1798246062,44.0274278392,18
"iNat",-81.9226552697,41.0657442412,15
"iNat",-90.251900086,38.3043662925,5
"iNat",-81.60762,41.142654,17
"iNat",-73.1797271675,44.0146666714,17
"iNat",-73.1804781861,44.013337615,17
"iNat",-82.3974609375,27.7807716433,15
"iNat",-73.1798895648,44.0274496339,18
"iNat",-96.6796457,32.987767,17
"iNat",-96.6351475,32.99566,17
"iNat",-96.6795813,32.987704,17
"iNat",-96.6795277,32.98774,17
"iNat",-81.441779,41.1014451,17
"iNat",-73.9559721,41.3914827,17
"iNat",-81.5796354036,41.1876554415,14
"iNat",-73.163949,44.48698,6
"iNat",-73.1795891574,44.0272664235,18
"iNat",-76.0428333333,43.1985,17
"iNat",-73.1779601245,44.0169261506,17
"iNat",-75.3566169281,45.0734617237,5
"iNat",-71.9382967707,43.4104292281,1
"iNat",-88.9306494252,37.3763636299,10
"iNat",-81.93409,38.543638,5
"iNat",-81.644456,38.280021,5
"iNat",-79.5213692918,39.985933475,5
"iNat",-79.5027719893,39.9931748741,5
"iNat",-71.971035,41.5258,5
"iNat",-73.1807525926,44.0198640591,17
"iNat",-81.7263888,33.2836111,17
"iNat",-73.1792545789,44.0191060462,5
"iNat",-82.179869,38.680188,15
"iNat",-81.5856666667,41.1933333333,5
"iNat",-81.575826,41.1409805,17
"iNat",-73.5861272836,44.4449393451,5
"iNat",-78.8162007741,38.7604574562,6
"iNat",-77.6784694847,39.0850170714,15
"iNat",-77.6789432298,39.0885284778,15
"iNat",-77.7425266709,39.1311237603,15
"iNat",-81.7423804434,40.7942310788,6
"iNat",-82.0349607244,39.3482085038,17
"iNat",-81.5158081055,40.0780714275,5
"iNat",-76.159318,43.140401,17
"iNat",-81.4685,41.0795,17
"iNat",-73.1790037923,44.0192159876,15
"iNat",-73.1790145211,44.0192545635,15
"iNat",-73.1799002937,44.0273821354,18
"iNat",-81.2718927863,41.2368554703,15
"iNat",-81.4345562324,41.3438329074,17
"iNat",-81.3939945848,41.0096008005,15
"iNat",-81.4086665,41.322744,14
"iNat",-81.5596427,41.0918991,17
"iNat",-77.479051,38.674751,5
"iNat",-81.523,41.114,5
"iNat",-71.694496,41.905334,6
"iNat",-72.35789,44.234101,1
"iNat",-73.90000575,40.81480517,17
"iNat",-75.210041,40.491185,5
"iNat",-80.752682,41.303464,5
"iNat",-90.251964459,38.3044336463,5
"iNat",-81.463945,40.9167171,14
"iNat",-81.544733,41.217552,5
"iNat",-82.025899,38.423806,17
"iNat",-75.7987332344,40.5182688188,5
"iNat",-75.564994812,39.6575133159,17
"iNat",-81.6236326,41.2573802,5
"iNat",-89.3452685911,43.0954934403,17
"iNat",-72.513009,41.310736,5
"iNat",-72.364851,43.085877,5
"iNat",-94.345307,32.757459,17
"iNat",-81.6798333333,33.536,17
"iNat",-97.7778167725,30.2409801483,17
"iNat",-90.2521361204,38.3044420655,5
"iNat",-81.4251666667,41.1301666667,17
"iNat",-81.4149087667,40.9918864489,17
"iNat",-81.3024139334,39.6623707994,5
"iNat",-76.945805233,38.9144957538,14
"iNat",-97.3516558,35.6038323,10
"iNat",-72.185835,41.75719,17
"iNat",-76.695907,38.946036,5
"iNat",-81.68,33.5363333333,17
"iNat",-81.0851238,40.9972389,5
"iNat",-76.3709085618,39.8743959366,5
"iNat",-78.8979879015,36.0124044074,17
"iNat",-98.628301,38.441245,10
"iNat",-81.4649963379,28.0701626868,14
"iNat",-77.257625442,39.144923957,5
"iNat",-77.0476165227,38.7696462723,14
"iNat",-78.807589,36.104409,6
"iNat",-78.812395,36.10793,18
"iNat",-89.0179806444,37.3118429743,15
"iNat",-90.25177134,38.3045515153,5
"iNat",-73.1796046071,44.0197714779,17
"iNat",-71.6230154224,42.6016342035,17
"iNat",-70.7196315006,43.0462052348,17
"iNat",-81.4209108,42.9374639,5
"iNat",-76.9911841709,37.5366862703,6
"iNat",-81.533293,41.01849,15
"iNat",-71.4735,41.7196666667,17
"iNat",-73.0931641,41.3164856,17
"iNat",-81.5338333333,41.0161666667,18
"iNat",-81.5333333333,41.0185,15
"iNat",-72.767579,44.792981,1
"iNat",-72.544004,42.080801,17
"iNat",-75.767833,39.727052,6
"iNat",-77.4825779503,39.9144470763,5
"iNat",-72.8951666667,42.9665,17
"iNat",-73.159943269,44.0219365698,5
"iNat",-71.5865036061,41.3773188001,5
"iNat",-83.02675,42.33286,17
"iNat",-79.748395,39.3917601,17
"iNat",-97.7714538574,30.4288414798,17
"iNat",-82.2447483,40.0518978,5
"iNat",-76.8894232,39.4928811,17
"iNat",-71.3959915238,41.7478020171,17
"iNat",-77.553691864,38.9671670349,17
"iNat",-81.3925310969,41.2948150213,14
"iNat",-96.9586706037,19.1574646983,6
"iNat",-75.9026722169,42.1203137857,14
"iNat",-81.754627,40.911386,15
"iNat",-77.270454,38.6163562,17
"iNat",-75.9709303828,42.0916798023,17
"iNat",-78.7139297,35.8116795,15
"iNat",-80.2976889654,36.8739575243,15
"iNat",-88.930621262,37.3763295025,10
"iNat",-88.9306024865,37.37635508,10
"iNat",-82.5578081,36.971723,17
"iNat",-82.53,36.96,15
"iNat",-63.8839693804,50.0298752901,0
"iNat",-81.5527867,41.2749032,5
"iNat",-81.6938933,41.1941452,5
"iNat",-82.5757108,36.9759345,17
"iNat",-75.9689920385,42.0859071302,17
"iNat",-82.3791043036,38.8809615037,17
"iNat",-74.946364,39.002313,6
"iNat",-79.4989290833,39.1133539053,5
"iNat",-79.3583156169,39.0866789546,10
"iNat",-79.3613320962,39.0923226206,5
"iNat",-76.7974076606,39.0299146787,6
"iNat",-73.1673343877,40.7653909296,17
"iNat",-73.1673156123,40.7653965162,17
"iNat",-73.1673491399,40.7653980398,17
"iNat",-83.3379408,34.6789845,17
"iNat",-75.9668409069,42.0818621498,6
"iNat",-81.4151930809,40.9916819702,17
"iNat",-72.43609122,42.1444198354,14
"iNat",-88.9304254607,37.3760683983,5
"iNat",-88.4220318039,37.4991104995,5
"iNat",-81.4960091175,41.1206266982,5
"iNat",-97.5587654,33.3910328,10
"iNat",-87.635527,41.933103,17
"iNat",-90.2522863241,38.3044125982,5
"iNat",-89.0342191254,37.2704599462,17
"iNat",-88.9304254607,37.3762069435,10
"iNat",-70.4947533,43.9175691,17
"iNat",-77.105466323,38.7544692537,14
"iNat",-77.1053875331,38.7545270186,14
"iNat",-77.1053657401,38.754526054,14
"iNat",-77.3818211909,39.2779121641,5
"iNat",-77.3932548612,39.2833611555,5
"iNat",-77.3918438517,39.2644810863,5
"iNat",-82.457,35.4385,17
"iNat",-97.805167,30.348166,1
"iNat",-81.737785,41.113583,15
"iNat",-76.9629458059,38.9117339719,17
"iNat",-71.5869864037,41.3815573169,5
"iNat",-81.8055551558,40.9785070321,15
"iNat",-90.2518464418,38.3045851921,5
"iNat",-82.8100469,41.5537363,18
"iNat",-81.8039631844,41.0456423173,17
"iNat",-97.2804693836,32.8859250829,10
"iNat",-97.2983957,32.88151,17
"iNat",-82.063914385,36.8801553971,17
"iNat",-76.80233,39.322372,6
"iNat",-81.539021164,41.0367748392,14
"iNat",-76.2241411395,39.0317637472,17
"iNat",-82.6171392202,36.8874383853,5
"iNat",-97.2804264683,32.8819427612,10
"iNat",-82.1539986829,38.9529783134,6
"iNat",-81.5706109,41.1426985,5
"iNat",-76.193351647,38.9179024793,17
"iNat",-81.6377879191,41.1835815521,15
"iNat",-97.803333,30.3485,1
"iNat",-82.777917,36.860026,17
"iNat",-92.9587474465,30.216287937,15
"iNat",-72.57392,44.28453,15
"iNat",-82.5652036071,36.975433953,17
"iNat",-82.8548902273,36.8198881672,10
"iNat",-98.008475,32.794543,8
"iNat",-82.364587,27.513373,14
"iNat",-73.1746597588,44.014245219,17
"iNat",-82.9805809725,29.4886258986,18
"iNat",-83.0821023641,40.1080204072,17
"iNat",-82.6351666667,39.5335,6
"iNat",-78.061553,39.059886,17
"iNat",-78.349264,44.552944,17
"iNat",-81.742143631,40.7898996853,15
"iNat",-81.1185836792,40.9743252927,17
"iNat",-71.7817092,41.5059552,18
"iNat",-71.7919206619,41.5260776213,6
"iNat",-71.6880998,41.7282566,5
"iNat",-80.7661737,25.7565374,17
"iNat",-73.1453794241,44.4827099204,17
"iNat",-72.5098115,43.1378556,17
"iNat",-73.1465005875,44.4817182359,17
"iNat",-72.9813889,44.0919444,15
"iNat",-73.0835582,44.8107132,17
"iNat",-72.596046,43.004396,5
"iNat",-72.526069,43.133041,17
"iNat",-72.5431966782,43.6361217451,5
"iNat",-72.573667,44.285028,15
"iNat",-72.5417375565,44.5425264357,5
"iNat",-72.6439619064,44.4376102372,5
"iNat",-73.3478593826,44.0730646206,18
"iNat",-73.23376894,44.5218000184,14
"iNat",-72.3120546341,44.30804991,17
"iNat",-73.1717562675,44.4979440408,1
"iNat",-73.1687200069,44.4439528127,15
"iNat",-72.525467,43.132339,10
"iNat",-73.3488893509,44.08587421,15
"iNat",-86.4185099683,38.732959272,5
"iNat",-87.9772946753,41.6363383263,14
"iNat",-81.4233421583,28.5484384231,17
"iNat",-73.2157230377,43.6733970106,5
"iNat",-73.2725429535,44.9718723921,14
"iNat",-72.9140281677,43.5800177959,5
"iNat",-73.3450055122,44.0851960341,18
"iNat",-70.240445,43.705918,6
"iNat",-82.4501502514,28.1041723739,17
"iNat",-72.6944303513,43.4775255097,6
"iNat",-73.3835220337,43.8275920823,1
"iNat",-72.975461483,43.6069654092,17
"iNat",-73.0550479889,43.6306084451,15
"iNat",-71.5269955641,41.7011078165,17
"iNat",-73.0654335022,43.6210405045,17
"iNat",-72.5886666667,43.8531666667,17
"iNat",-73.2201712117,43.6922571436,5
"iNat",-97.6098829508,30.1948855284,3
"iNat",-97.6530504227,30.2255516755,4
"iNat",-94.7251296044,33.9485933001,14
"iNat",-97.6509797573,30.2311136712,7
"iNat",-97.6517415047,30.2329675999,4
"iNat",-97.6551532745,30.2247358897,7
"iNat",-72.939724,43.629052,6
"iNat",-73.2258081436,43.6569434778,17
"iNat",-72.9394340515,43.6294280672,17
"iNat",-73.0656051636,43.6221589138,17
"iNat",-71.84715271,44.7952363532,6
"iNat",-72.9392623901,43.6289310591,17
"iNat",-99.1676533905,19.3514981656,15
"iNat",-96.5001329205,17.343510601,8
"iNat",-73.1609630585,44.0263809706,5
"iNat",-99.2532563,19.2977978,15
"iNat",-72.5890302658,43.8535698423,15
"iNat",-78.7141638889,35.8115916667,15
"iNat",-79.900086,40.444659,17
"iNat",-80.079668,42.163768,16
"iNat",-72.58888,43.853299,17
"iNat",-72.5435097737,43.6197267014,15
"iNat",-72.5415138245,43.6304569907,1
"iNat",-72.5352910996,43.6301153039,1
"iNat",-72.5421146393,43.6397128577,5
"iNat",-72.508630355,43.8085231147,17
"iNat",-82.81432,39.556529,15
"iNat",-72.5882737447,43.8539765095,15
"iNat",-73.0633735657,43.6153238653,17
"iNat",-73.0889211598,44.5800074215,17
"iNat",-82.450142,28.104188,17
"iNat",-97.8227806879,30.4129280182,5
"iNat",-97.049667,27.832166,17
"iNat",-84.280733,30.438256,17
"iNat",-72.5896363069,43.8525529493,17
"iNat",-78.2706098953,39.9437732326,5
"iNat",-72.4214954,44.4150561,17
"iNat",-82.601255,41.417146,17
"iNat",-73.1851673126,44.0216172321,15
"iNat",-73.2199501991,44.4633133239,17
"iNat",-88.2543006931,41.9833100102,18
"iNat",-97.7637549956,30.2682282916,18
"iNat",-73.34005,44.69763,1
"iNat",-73.3750941188,44.7109515569,18
"iNat",-97.783422,30.223266,17
"iNat",-90.5169162,37.9760923,5
"iNat",-97.0715475082,18.8433242802,3
"iNat",-82.6504242,27.7250931,14
"iNat",-75.7843003,40.963705,17
"iNat",-82.4487018585,28.104048573,3
"iNat",-72.589334,43.853166,17
"iNat",-99.4449762247,18.8586579263,4
"iNat",-97.5841666667,29.5875,17
"iNat",-79.5547270775,40.5612145942,5
"iNat",-77.2755916553,39.2634990797,5
"iNat",-73.3572353667,43.7132295412,17
"iNat",-73.1861007214,44.0233800528,15
"iNat",-81.176766,40.8908289,5
"iNat",-73.5539925,45.5086699,17
"iNat",-92.9586666667,30.2161666667,15
"iNat",-73.0557346344,44.2618285478,6
"iNat",-72.5845,44.2063333333,17
"iNat",-97.2806417942,32.8822091082,10
"iNat",-98.7549386826,29.5591718378,1
"iNat",-97.646656,30.23521,9
"iNat",-73.0642747879,44.245598671,15
"iNat",-90.123973,29.939481,17
"iNat",-87.1723320527,30.6354032215,17
"iNat",-99.4961556883,18.9460392606,15
"iNat",-97.7717167139,30.2703285223,1
"iNat",-82.7771666667,36.8765,5
"iNat",-97.175735,28.71402,17
"iNat",-81.411972,31.103655,3
"iNat",-73.179776,44.027407,18
"iNat",-82.554998,36.975929,15
"iNat",-72.581,44.1998333333,14
"iNat",-97.174448,28.723015,17
"iNat",-79.196158,34.486567,6
"iNat",-90.127793,29.941679,17
"iNat",-90.125277,29.93787,17
"iNat",-70.559477,41.638282,10
"iNat",-85.895,42.6393333333,5
"iNat",-97.983938,30.505807,1
"iNat",-75.94332267,39.17511269,14
"iNat",-82.7763333333,36.8765,17
"iNat",-73.139602,44.159175,14
"iNat",-86.8,36.1406666667,16
"iNat",-82.76001,36.866094,5
"iNat",-99.40694,28.31181,7
"iNat",-82.824,36.8496666667,5
"iNat",-97.746775,30.297507,17
"iNat",-82.7738333333,36.8758333333,17
"iNat",-97.9123333333,30.6845,8
"iNat",-97.6168333333,30.5343333333,17
"iNat",-87.912709,30.65589,14
"iNat",-75.312285,40.147126,17
"iNat",-77.049415,38.926756,5
"iNat",-95.056179,18.487592,3
"iNat",-95.075281,18.584981,3
"iNat",-88.982778,37.529444,17
"iNat",-73.953848,40.796634,18
"iNat",-88.9756666667,37.5281666667,5
"iNat",-97.388326,28.668325,17
"iNat",-75.938039,38.955413,6
"iNat",-78.908361476,37.8796705697,15
"iNat",-77.478945,38.674677,5
"iNat",-72.4788843072,42.0719083437,14
"iNat",-87.547435,33.214445,17
"iNat",-87.892706,30.639925,17
"iNat",-71.009373,42.315129,10
"iNat",-71.008453,42.316188,18
"iNat",-71.008455,42.318465,6
"iNat",-80.9796666667,39.8243333333,5
"iNat",-71.114856,42.21273,1
"iNat",-90.2975,38.637845,6
"iNat",-72.147247,44.762465,17
"iNat",-72.593893,43.847038,1
"iNat",-97.275819,32.867725,17
"iNat",-72.532103,43.618804,17
"iNat",-90.292514,38.636645,17
"iNat",-90.251771,38.304577,5
"iNat",-99.182211,19.3203,17
"iNat",-88.172433,41.862365,5
"iNat",-92.663,35.516,5
"iNat",-71.004145,42.319185,10
"iNat",-72.223483,44.40541,17
"iNat",-91.708081,37.967144,5
"iNat",-91.70814,37.967123,5
"iNat",-72.678436,44.658119,6
"iNat",-88.441667,41.784731,5
"iNat",-72.939117,43.629619,17
"iNat",-97.651978,30.216837,4
"iNat",-82.743411,36.878039,17
"iNat",-72.4625150405,42.0009985655,14
"iNat",-72.520175,42.962098,18
"iNat",-97.450833,33.126042,10
"iNat",-89.999013,34.813874,8
"iNat",-72.5048333333,43.6241666667,17
"iNat",-73.142531,44.25041,5
"iNat",-97.176293,28.723956,7
"iNat",-72.560012,43.669727,5
"iNat",-94.144885,32.742088,14
"iNat",-73.0407019559,44.4826614574,16
"iNat",-81.523905,41.114563,5
"iNat",-90.128392,29.941719,17
"iNat",-72.5222698137,44.2802847972,15
"iNat",-89.546108,45.495287,14
"iNat",-97.7638143395,30.4609619407,17
"iNat",-73.054962,44.251839,14
"iNat",-98.679607,34.687333,5
"iNat",-73.829327,40.616132,5
"iNat",-90.251964,38.304442,5
"iNat",-92.6125,35.4328333333,5
"iNat",-73.124721,43.933135,15
"iNat",-72.177687,44.394678,17
"iNat",-79.4635549031,39.1569098334,5
"iNat",-72.588955,43.853679,15
"iNat",-73.185597,44.024,15
"iNat",-78.715346,35.810531,15
"iNat",-73.179249,44.027189,18
"iNat",-73.179434,44.027256,18
"iNat",-79.271214,38.90999,5
"iNat",-73.143062,44.547962,6
"iNat",-84.866634,32.826214,6
"iNat",-77.478783,38.674754,17
"iNat",-90.128285,29.941771,17
"iNat",-73.1507283483,44.4270287555,17
"iNat",-97.27598,32.866948,17
"iNat",-75.994771,40.635222,17
"iNat",-73.177268,44.019262,18
"iNat",-91.97439,32.449657,14
"iNat",-71.584778,41.380238,5
"iNat",-98.7363420205,29.8982613417,8
"iNat",-77.411041,40.262106,5
"iNat",-71.670752,41.43264,5
"iNat",-88.5516666667,42.8678333333,5
"iNat",-90.252104,38.30445,5
"iNat",-72.9958333333,44.3466666667,17
"iNat",-72.697554,41.412799,5
"iNat",-98.592736,34.705269,10
"iNat",-90.128157,29.941875,17
"iNat",-72.147131,44.763536,5
"iNat",-90.125972,29.792527,14
"iNat",-73.132953,42.774924,17
"iNat",-90.128269,29.941707,17
"iNat",-77.236925,38.644417,17
"iNat",-81.355066,41.060421,18
"iNat",-72.588778,43.852963,15
"iNat",-94.5092727545,17.9931248815,9
"iNat",-99.095823,19.303896,10
"iNat",-73.987297,40.661347,17
"iNat",-76.8616666667,38.9956666667,5
"iNat",-75.799334,40.518204,5
"iNat",-97.728,30.1948333333,3
"iNat",-97.72232,30.180646,17
"iNat",-97.724175,30.183971,14
"iNat",-76.842185,39.183074,18
"iNat",-73.194,43.2412,5
