"taxon.name","class"
"Sobralia chrysostoma","Liliopsida"
"Odontoscion dentex",NA
"Doras carinatus",NA
"Mutisia clematis","Magnoliopsida"
"Tillandsia clavigera","Liliopsida"
"Hoplomutilla xanthocerata","Insecta"
"Iriartea deltoidea","Liliopsida"
"Guzmania donnell-smithii","Liliopsida"
"Anaea troglodyta","Insecta"
"Orchis olbiensis","Liliopsida"
"Phormictopus atrichomatus",NA
"Monochroides olivescens",NA
"Hypena vetustalis",NA
"Erythrolamprus mimus","Reptilia"
"Pseudacris brimleyi","Amphibia"
"Astraptes phalaecus",NA
"Eantis minor","Insecta"
"Brachythecium acuminatum","Bryopsida"
"Pero boa","Insecta"
"Baniana veluta","Insecta"
"Ethmia pusiella","Insecta"
"Desmognathus planiceps","Amphibia"
"Amblystegium varium","Bryopsida"
"Solanum pseudolulo","Magnoliopsida"
"Leptuca terpsichores","Malacostraca"
"Xysticus elegans","Arachnida"
"Digomphia ceratophora",NA
"Parasaissetia nigra","Insecta"
"Arachnothryx buddleioides",NA
"Spragueia perstructana","Insecta"
"Panstrongylus geniculatus","Insecta"
"Psoloptera basifulva","Insecta"
"Bicilia iarchasalis",NA
"Hapigia simplex","Insecta"
"Parcoblatta fulvescens","Insecta"
"Theclopsis demea",NA
"Protoneura amatoria","Insecta"
"Pachypops fourcroi",NA
"Atlantea tulita",NA
"Ptychamalia perlata",NA
"Perola affinis",NA
"Opetiops alienus","Insecta"
"Rhodinocichla rosea","Aves"
"Polygala lewtonii","Magnoliopsida"
"Guyanancistrus brevispinis",NA
"Arachniodes simplicior","Polypodiopsida"
"Rupela tinctella","Insecta"
"Adelpha gelania",NA
"Chthamalus stellatus","Thecostraca"
"Cymbulia peronii","Gastropoda"
"Zuata nolckeni","Insecta"
"Ephyriades arcas",NA
"Opuntia maxima","Magnoliopsida"
"Psychotria marginata","Magnoliopsida"
"Dichomeris bipunctellus","Insecta"
"Myriophyllum laxum","Magnoliopsida"
"Sabatia macrophylla","Magnoliopsida"
"Gentiana villosa","Magnoliopsida"
"Lourteigia microphylla","Magnoliopsida"
"Lophiola aurea","Liliopsida"
"Opharus consimilis","Insecta"
"Euphorbia exserta","Magnoliopsida"
"Eragrostis secundiflora","Liliopsida"
"Paraxenetus guttulatus","Insecta"
"Neolema sexpunctata","Insecta"
"Dicerandra densiflora",NA
"Desmodium lineatum","Magnoliopsida"
"Phanaeus sallei","Insecta"
"Desmodium floridanum",NA
"Dyschoriste humistrata","Magnoliopsida"
"Catocala alabamae","Insecta"
"Itame vincularia","Insecta"
"Salsola oppositifolia","Magnoliopsida"
"Nomada fervida","Insecta"
"Aplidium elegans","Ascidiacea"
"Sphyrna mokarran","Elasmobranchii"
"Ortygospiza atricollis","Aves"
"Passer luteus","Aves"
"Espeletia uribei","Magnoliopsida"
"Lophornis adorabilis","Aves"
"Galium parisiense","Magnoliopsida"
"Verbesina arborea","Magnoliopsida"
"Microctenochira reticularis","Insecta"
"Orodesma schausi",NA
"Cicuta mexicana","Magnoliopsida"
"Calycomyza malvae","Insecta"
"Acrolepiopsis leucoscia","Insecta"
"Anolis beckeri","Reptilia"
"Anthurium hookeri","Liliopsida"
"Solanum stramoniifolium","Magnoliopsida"
"Draparnaldia glomerata",NA
"Pentaclethra macroloba","Magnoliopsida"
"Eugenia stipitata","Magnoliopsida"
"Asparagus aphyllus","Liliopsida"
"Malus prunifolia","Magnoliopsida"
"Tabernaemontana alba","Magnoliopsida"
"Paratrachelizus uncimanus","Insecta"
"Euphorbia pedroi",NA
"Pyromorpha dimidiata","Insecta"
"Mangora maculata","Arachnida"
"Lichenostigma elongata",NA
"Eumastax salazari","Insecta"
"Viola hastata","Magnoliopsida"
"Dichomeris vacciniella","Insecta"
"Balsa malana","Insecta"
"Salix phlebophylla","Magnoliopsida"
"Gnorimosphaeroma oregonense","Malacostraca"
"Richardsonius balteatus","Actinopterygii"
"Squalus suckleyi","Elasmobranchii"
"Anopina ednana","Insecta"
"Scaphander lignarius","Gastropoda"
"Brunnera macrophylla","Magnoliopsida"
"Epinotia cruciana",NA
"Conistra ligula","Insecta"
"Leptophlebia marginata","Insecta"
"Dytiscus fasciventris","Insecta"
"Olethreutes submissanum",NA
"Polemonium caucasicum",NA
"Aconitum cymbulatum",NA
"Alyssum strigosum","Magnoliopsida"
"Duttaphrynus dhufarensis","Amphibia"
"Ranunculus montanus","Magnoliopsida"
"Linum flavum","Magnoliopsida"
"Melilotus sulcatus","Magnoliopsida"
"Phylloscopus intermedius","Aves"
"Phylloscopus ricketti","Aves"
"Pardosa agricola","Arachnida"
"Clubiona comta","Arachnida"
"Triglochin bulbosa","Liliopsida"
"Juncus subulatus","Liliopsida"
"Chalcosyrphus valgus",NA
"Goodyera hachijoensis",NA
"Liris subtesselatus","Insecta"
"Eupithecia cocciferata","Insecta"
"Limonium vulgare","Magnoliopsida"
"Anchusa stylosa","Magnoliopsida"
"Asterolinon linum-stellatum","Magnoliopsida"
"Silene otites","Magnoliopsida"
"Carduus hamulosus","Magnoliopsida"
"Coenagrion armatum","Insecta"
"Arge gracilicornis","Insecta"
"Rhopobota ustomaculana",NA
"Chrysomela collaris","Insecta"
"Bombomyia discoidea","Insecta"
"Bisporella pallescens","Leotiomycetes"
"Geranium asphodeloides","Magnoliopsida"
"Galium murale","Magnoliopsida"
"Persicaria biconvexa","Magnoliopsida"
"Ceutorhynchus napi","Insecta"
"Avena ludoviciana","Liliopsida"
"Filago pyramidata","Magnoliopsida"
"Peracarpa carnosa","Magnoliopsida"
"Opomyza petrei","Insecta"
"Clerodendrum mindorense",NA
"Bothroponera crassa",NA
"Zehneria guamensis","Magnoliopsida"
"Cheirostylis clibborndyeri",NA
"Garcinia multiflora",NA
"Entodon concinnus","Bryopsida"
"Ononis viscosa","Magnoliopsida"
"Homalothecium lutescens","Bryopsida"
"Astronia ferruginea","Magnoliopsida"
"Machilus obovatifolia","Magnoliopsida"
"Crepidium ramosii","Liliopsida"
"Strychnos cathayensis",NA
"Circinaria calcarea","Lecanoromycetes"
"Dysoxylum hongkongense",NA
"Rhabdophis spilogaster","Reptilia"
"Gymnospermium odessanum","Magnoliopsida"
"Urena procumbens","Magnoliopsida"
"Arisaema consanguineum","Liliopsida"
"Papyrocranus afer","Actinopterygii"
"Cryptocarya concinna","Magnoliopsida"
"Diospyros maritima","Magnoliopsida"
"Cassida bergeali","Insecta"
"Trirachys indutus","Insecta"
"Eupithecia veratraria","Insecta"
"Crassula alata","Magnoliopsida"
"Oenanthe fistulosa","Magnoliopsida"
"Campanula pallida","Magnoliopsida"
"Haplomalachius flabellatus","Insecta"
"Litargus connexus","Insecta"
"Eranthemum roseum","Magnoliopsida"
"Carex rigidioides",NA
"Larus armenicus","Aves"
"Naticarius hebraeus","Gastropoda"
"Tambja olivaria","Gastropoda"
"Scopula fibulata","Insecta"
"Hypsignathus monstrosus","Mammalia"
"Euonymus maximowiczianus","Magnoliopsida"
"Euonymus macropterus","Magnoliopsida"
"Stellaria solaris","Gastropoda"
"Pyrrhocoris sibiricus","Insecta"
"Onychognathus salvadorii","Aves"
"Ardeadoris averni","Gastropoda"
"Linaria albifrons","Magnoliopsida"
"Celastrus flagellaris","Magnoliopsida"
"Glycymeris bimaculata","Bivalvia"
"Tockus jacksoni","Aves"
"Philodromus fuscomarginatus","Arachnida"
"Marpissa radiata","Arachnida"
"Marpissa pomatia","Arachnida"
"Cladonia convoluta","Lecanoromycetes"
"Amata cyssea","Insecta"
"Micropterix cypriensis","Insecta"
"Felis lybica","Mammalia"
"Helianthemum salicifolium","Magnoliopsida"
"Otostigmus aculeatus","Chilopoda"
"Peirates hybridus","Insecta"
"Ixora casei","Magnoliopsida"
"Dorcadion scopolii","Insecta"
"Brachydiplax sobrina","Insecta"
"Geokichla spiloptera","Aves"
"Phaenicophaeus pyrrhocephalus","Aves"
"Turdoides rufescens","Aves"
"Conus biliosus","Gastropoda"
"Dicrurus lophorinus",NA
"Urocissa ornata","Aves"
"Acanthochitona mahensis",NA
"Megascolia azurea","Insecta"
"Larinioides ixobolus","Arachnida"
"Dryopteris hendersonii","Polypodiopsida"
"Gracula ptilogenys","Aves"
"Polystichum hancockii","Polypodiopsida"
"Polystichum hookerianum",NA
"Tapena thwaitesi","Insecta"
"Dahira rubiginosa","Insecta"
"Argyrogramma signata","Insecta"
"Papaver pavoninum","Magnoliopsida"
"Primula longiscapa","Magnoliopsida"
"Astragalus flexus",NA
"Leontice incerta","Magnoliopsida"
"Rheum nanum",NA
"Phoebastria albatrus","Aves"
"Phyllodes verhuelli","Insecta"
"Ajuga parviflora","Magnoliopsida"
"Mesobuthus eupeus","Arachnida"
"Asplenium prolongatum","Polypodiopsida"
"Cheilanthes nitidula",NA
"Pomponia merula",NA
"Ahaetulla mycterizans","Reptilia"
"Chamaita hirta","Insecta"
"Adonis amurensis","Magnoliopsida"
"Panaorus japonicus","Insecta"
"Menida violacea","Insecta"
"Hipposideros armiger","Mammalia"
"Laelia anamesa","Insecta"
"Leptobelus dama",NA
"Ebhul varius",NA
"Choucentrus sinensis",NA
"Centrotypus pactolus",NA
"Eviota atriventris","Actinopterygii"
"Anchon ulniforme",NA
"Rhinanthus apterus",NA
"Camptopleura auxo",NA
"Gorgopas trochilus","Insecta"
"Polythrix octomaculata","Insecta"
"Monethe albertus","Insecta"
"Memphis xenocles",NA
"Sictuna clupeipennis",NA
"Heisteria asplundii","Magnoliopsida"
"Specklinia morganii","Liliopsida"
"Adenocalymma coriaceum",NA
"Esterhazya splendida",NA
"Jacaranda irwinii",NA
"Dimerocostus strobilaceus","Liliopsida"
"Dipyrena juncea","Magnoliopsida"
"Lissonotus equestris",NA
"Sternacanthus undatus",NA
"Costus lasius","Liliopsida"
"Vassobia breviflora","Magnoliopsida"
"Xanthopsar flavus","Aves"
"Buteogallus solitarius","Aves"
"Trophon geversianus","Gastropoda"
"Pristimantis actites","Amphibia"
"Mandevilla angustifolia","Magnoliopsida"
"Anisocapparis speciosa","Magnoliopsida"
"Salta triflora","Magnoliopsida"
"Amphilophium carolinae","Magnoliopsida"
"Pereskia sacharosa","Magnoliopsida"
"Senegalia gilliesii","Magnoliopsida"
"Anasterias antarctica","Asteroidea"
"Pareuthria plumbea","Gastropoda"
"Centris tarsata",NA
"Rhodobaenus augustinus","Insecta"
"Nacella flammea","Gastropoda"
"Plaxiphora aurata","Polyplacophora"
"Octopus tehuelchus","Cephalopoda"
"Fissurella radiosa","Gastropoda"
"Patagonotothen cornucola","Actinopterygii"
"Lithodes santolla","Malacostraca"
"Veronica dieffenbachii","Magnoliopsida"
"Salpiglossis sinuata","Magnoliopsida"
"Tachypompilus erubescens","Insecta"
"Contomastix serrana",NA
"Dynastes ecuatorianus",NA
"Myiornis ecaudatus","Aves"
"Bucco tamatia","Aves"
"Myrmoborus lugubris","Aves"
"Thamnophilus cryptoleucus","Aves"
"Myrmochanes hemileucus","Aves"
"Dendrocolaptes certhia","Aves"
"Pseudoboa coronata","Reptilia"
"Tessellota cancellata",NA
"Theclopsis lydus",NA
"Tithorea harmonia","Insecta"
"Peltaea polymorpha","Magnoliopsida"
"Leptotes bathyllos",NA
"Lieinix nemesis","Insecta"
"Hesperocharis marchalii","Insecta"
"Higginsius fasciata",NA
"Telenassa delphia","Insecta"
"Salpichroa diffusa",NA
"Fuchsia vulcanica",NA
"Robinsonia dewitzi","Insecta"
"Hemiceras rufescens","Insecta"
"Munnozia hastifolia","Magnoliopsida"
"Mylon zephus",NA
"Dagon pusilla","Insecta"
"Melanis marathon","Insecta"
"Baeotis bacaenis","Insecta"
"Tibouchina rufipilis",NA
"Johnsonita auda","Insecta"
"Eretris apuleja",NA
"Pedaliodes asconia","Insecta"
"Greta ortygia",NA
"Typhedanus crameri","Insecta"
"Rytidosperma violaceum",NA
"Rubroserrata ecbatana","Insecta"
"Chalodeta theodora","Insecta"
"Rytidosperma pictum","Liliopsida"
"Danthonia malacantha",NA
"Cortaderia pilosa",NA
"Danthonia chilensis",NA
"Rytidosperma quirihuense",NA
"Costus erythrothyrsus","Liliopsida"
"Greta hermana",NA
"Cavendishia cuatrecasasii",NA
"Pteronymia oneida",NA
"Borogonalia impressifrons","Insecta"
"Podandrogyne mathewsii",NA
"Paramastax exigai",NA
"Paramastax cordillerae",NA
"Deconychura longicauda","Aves"
"Pipra fasciicauda","Aves"
"Laniocera hypopyrra","Aves"
"Pseudophasma annulipes",NA
"Taygetis oyapock",NA
"Eunica orphise","Insecta"
"Eryphanis gerhardi",NA
"Gorgythion beggina","Insecta"
"Leptoypha hospita","Insecta"
"Aoraia dinodes","Insecta"
"Poecilohetaerus punctatifacies","Insecta"
"Ficinia nigrescens","Liliopsida"
"Chaetoptelius mundulus","Insecta"
"Cleretum herrei","Magnoliopsida"
"Caerostris corticosa",NA
"Aspalathus abietina","Magnoliopsida"
"Dilatris corymbosa","Liliopsida"
"Acrolophia bolusii",NA
"Crocydopora cinigerella","Insecta"
"Hyperolius parallelus","Amphibia"
"Pardomima callixantha","Insecta"
"Lonchura molucca","Aves"
"Sphaeramene polytylotos","Malacostraca"
"Janolus longidentatus","Gastropoda"
"Pilumnoides rubus","Malacostraca"
"Pavoclinus caeruleopunctatus","Actinopterygii"
"Protea mundii","Magnoliopsida"
"Stapelia gettliffei","Magnoliopsida"
"Tortricopsis pyroptis","Insecta"
"Lampranthus elegans","Magnoliopsida"
"Batocera rosenbergi",NA
"Hypodiscus rugosus","Liliopsida"
"Moerarchis australasiella","Insecta"
"Grammatophyllum scriptum","Liliopsida"
"Ozoroa paniculosa","Magnoliopsida"
"Ipomoea ficifolia","Magnoliopsida"
"Persicaria limbata","Magnoliopsida"
"Eragrostis tincta","Liliopsida"
"Chionochloa pallens",NA
"Rytidosperma pulchrum",NA
"Rytidosperma thomsonii",NA
"Atrichonotus taeniatulus","Insecta"
"Rytidosperma maculatum",NA
"Rytidosperma caespitosum","Liliopsida"
"Rytidosperma nudiflorum",NA
"Rytidosperma nivicolum",NA
"Chionochloa frigida","Liliopsida"
"Plinthanthesis rodwayi",NA
"Rytidosperma fulvum","Liliopsida"
"Rytidosperma setaceum","Liliopsida"
"Rytidosperma pauciflorum",NA
"Rytidosperma diemenicum",NA
"Rytidosperma tenuius",NA
"Rytidosperma fortunae-hibernae",NA
"Rytidosperma laeve",NA
"Thelyphassa diaphana","Insecta"
"Notochloe microdon",NA
"Plinthanthesis paradoxa",NA
"Rytidosperma pilosum",NA
"Rytidosperma monticola",NA
"Rytidosperma clelandii",NA
"Rytidosperma erianthum",NA
"Phyllanthus parvulus","Magnoliopsida"
"Jonthodina sculptilis","Insecta"
"Anaxidia lozogramma","Insecta"
"Gymnapistes marmoratus","Actinopterygii"
"Chumma inquieta",NA
"Pleuroloba quoyi",NA
"Eremococcus turbinatus",NA
"Drimia haworthioides","Liliopsida"
"Mesembryanthemum granulicaule","Magnoliopsida"
"Gallacea scleroderma","Agaricomycetes"
"Powelliphanta gagei","Gastropoda"
"Rhytida patula","Gastropoda"
"Ichneutica propria",NA
"Hydriomena rixata","Insecta"
"Otholobium fruticans","Magnoliopsida"
"Eopsaltria griseogularis","Aves"
"Oopelta nigropunctata","Gastropoda"
"Poodytes punctatus",NA
"Protithona potamias","Insecta"
"Adenia glauca","Magnoliopsida"
"Ctenophorus maculatus","Reptilia"
"Notorynchus cepedianus","Elasmobranchii"
"Pollichia campestris","Magnoliopsida"
"Zoila thersites","Gastropoda"
"Leucospermum catherinae","Magnoliopsida"
"Bothriochloa biloba","Liliopsida"
"Leucadendron diemontianum","Magnoliopsida"
"Diuris punctata","Liliopsida"
"Eudonia st1","Insecta"
"Phaeosaces compsotypa","Insecta"
"Pseudocoremia monacha","Insecta"
"Glaucocharis holanthes","Insecta"
"Aulax pallasia","Magnoliopsida"
"Sommeria strabonis","Insecta"
"Actenia achromalis","Insecta"
"Ilemodes astriga",NA
"Saenura flava",NA
"Terpnostola ardescens",NA
"Callopistria yerburii","Insecta"
"Prasophyllum spicatum",NA
"Pseudopanax macintyrei","Magnoliopsida"
"Psammophis trinasalis","Reptilia"
"Pomaderris aspera","Magnoliopsida"
"Stenotus transvaalensis","Insecta"
"Menida decoratula","Insecta"
"Achrophyllum dentatum","Bryopsida"
"Chiloscyphus coalitus","Jungermanniopsida"
"Exidia novozealandica","Agaricomycetes"
"Thema stasiastica",NA
"Oxyuranus scutellatus","Reptilia"
"Mecidea prolixa","Insecta"
"Tmarus cinerasceus",NA
"Araneus albotriangulus","Arachnida"
"Clavelina australis","Ascidiacea"
"Pentapodus paradiseus","Actinopterygii"
"Hypoplectrodes jamesoni","Actinopterygii"
"Cynosarga ornata","Insecta"
"Anaclastis apicistrigellus","Insecta"
"Crioa acronyctoides","Insecta"
"Grammodes occulta","Insecta"
"Orthaga rubridiscalis","Insecta"
"Saproscincus rosei","Reptilia"
"Orchamoplatus citri","Insecta"
"Selenicereus anthonyanus","Magnoliopsida"
"Microtus mexicanus","Mammalia"
"Mesadenella tonduzii","Liliopsida"
"Kalanchoe beharensis","Magnoliopsida"
"Sphaeralcea fendleri","Magnoliopsida"
"Myotis yumanensis","Mammalia"
"Sapium macrocarpum","Magnoliopsida"
"Zamia paucijuga","Cycadopsida"
"Calandrinia ciliata","Magnoliopsida"
"Delosperma brunnthaleri","Magnoliopsida"
"Sida lindheimeri","Magnoliopsida"
"Agulla bicolor","Insecta"
"Toripalpus trabalis","Insecta"
"Cacozelia basiochrealis","Insecta"
"Caphys arizonensis","Insecta"
"Argonemertes dendyi","Hoplonemertea"
"Aspidoscelis communis","Reptilia"
"Myrmecopsis strigosa","Insecta"
"Achurum sumichrasti","Insecta"
"Hypsopygia cohortalis","Insecta"
"Cymopterus glomeratus","Magnoliopsida"
"Pyrausta napaealis","Insecta"
"Stipa diegoensis","Liliopsida"
"Tubifera montana","Myxomycetes"
"Epinotia subviridis","Insecta"
"Ceriporia occidentalis",NA
"Celtis caudata","Magnoliopsida"
"Thaumatopsis magnificus",NA
"Pero zalissaria","Insecta"
"Corynorhinus mexicanus",NA
"Crambus angustexon",NA
"Crambus sargentellus",NA
"Opuntia semispinosa","Magnoliopsida"
"Stilbella fimetaria","Sordariomycetes"
"Acmispon micranthus","Magnoliopsida"
"Pogonomyrmex imberbiculus",NA
"Cypraecassis coarctata","Gastropoda"
"Xerocomus tenax",NA
"Commelina dianthifolia","Liliopsida"
"Schistocarpha bicolor",NA
"Gilia nevinii","Magnoliopsida"
"Camptocarpus longicollis","Insecta"
"Lasthenia glabrata","Magnoliopsida"
"Holothuria hilla","Holothuroidea"
"Schinia chrysellus","Insecta"
"Gonium pectorale","Chlorophyceae"
"Euphorbia oaxacana","Magnoliopsida"
"Chiton albolineatus","Polyplacophora"
"Opeatostoma pseudodon","Gastropoda"
"Horkelia cuneata","Magnoliopsida"
"Strix fulvescens","Aves"
"Vesper bulbosus","Magnoliopsida"
"Anachis nigrofusca","Gastropoda"
"Catostomus discobolus","Actinopterygii"
"Thalassiosira nordenskioeldii","Bacillariophyceae"
"Humboldtiana montezuma",NA
"Ischnochiton muscarius","Polyplacophora"
"Cantharus sanguinolentus","Gastropoda"
"Trichia botrytis","Myxomycetes"
"Haemulon californiensis","Actinopterygii"
"Rhynchosia discolor","Magnoliopsida"
"Toninia sedifolia","Lecanoromycetes"
"Lecanora inaurata","Lecanoromycetes"
"Fulgensia poeltii","Lecanoromycetes"
"Limaria pacifica","Bivalvia"
"Megalorchestia corniculata",NA
"Santalum ellipticum","Magnoliopsida"
"Callistochiton crassicostatus","Polyplacophora"
"Alyxia stellata","Magnoliopsida"
"Mitrella guttata","Gastropoda"
"Wollastonia integrifolia","Magnoliopsida"
"Freesia leichtlinii","Liliopsida"
"Phacus pleuronectes","Euglenida"
"Planaxis obsoletus","Gastropoda"
"Driloleirus macelfreshi",NA
"Xylella fastidiosa","Gammaproteobacteria"
"Faxonius neglectus","Malacostraca"
"Narcine vermiculata","Elasmobranchii"
"Vernonia lettermannii","Magnoliopsida"
"Sphaeropthalma boweri","Insecta"
"Aeschynomene fascicularis","Magnoliopsida"
"Anolis uniformis","Reptilia"
"Dasylirion graminifolium",NA
"Pheidole obtusospinosa","Insecta"
"Margaritifera hembeli","Bivalvia"
"Mentzelia obscura","Magnoliopsida"
"Hymenothrix wislizeni","Magnoliopsida"
"Estrilda coerulescens","Aves"
"Faxonius medius",NA
"Gilia diegensis","Magnoliopsida"
"Populus mexicana","Magnoliopsida"
"Oligotoma nigra","Insecta"
"Coniophora marmorata",NA
"Agaricus devoniensis","Agaricomycetes"
"Acanthepeira cherokee","Arachnida"
"Dudleya anthonyi","Magnoliopsida"
"Rubus adenotrichos","Magnoliopsida"
"Euxoa albipennis","Insecta"
"Ampulex canaliculata","Insecta"
"Nemoria leptalea","Insecta"
"Egira rubrica","Insecta"
"Evolvulus argyreus","Magnoliopsida"
"Adelpha paroeca","Insecta"
"Capitites ramulosa",NA
"Arcytophyllum thymifolium","Magnoliopsida"
"Limnophora obsignata","Insecta"
"Ditassa longiloba","Magnoliopsida"
"Asilus barbarus",NA
"Hymenocallis duvalensis","Liliopsida"
"Petalops thoracicus","Insecta"
"Paratropes biolleyi","Insecta"
"Athyrium asplenioides","Polypodiopsida"
"Zentrygon lawrencii","Aves"
"Cladonia caroliniana","Lecanoromycetes"
"Sedum pusillum","Magnoliopsida"
"Cochliostema odoratissimum","Liliopsida"
"Juiaparus batus","Insecta"
"Rhadinaea calligaster",NA
"Viola cazorlensis",NA
"Hydrangea paniculata","Magnoliopsida"
"Microglanis poecilus",NA
"Corydoras aeneus","Actinopterygii"
"Adactylotis gesticularia","Insecta"
"Corydoras boesemani",NA
"Steirastoma histrionicum","Insecta"
"Ituglanis amazonicus",NA
"Poptella longipinnis",NA
"Hypopomus artedi",NA
"Corallus caninus","Reptilia"
"Diophanes rosescens","Insecta"
"Pimelodus albofasciatus",NA
"Diplostephium alveolatum","Magnoliopsida"
"Monnina salicifolia","Magnoliopsida"
"Halenia adpressa","Magnoliopsida"
"Doriopsilla areolata","Gastropoda"
"Myrsine dependens","Magnoliopsida"
"Dichagyris acclivis","Insecta"
"Neurocordulia obsoleta","Insecta"
"Phelpsia inornata","Aves"
"Aequidens paloemeuensis",NA
"Geophagus harreri",NA
"Jupiaba meunieri",NA
"Cerodirphia mota",NA
"Limonium tuberculatum",NA
"Gallotia stehlini","Reptilia"
"Achalarus lyciades","Insecta"
"Salbia flabellalis",NA
"Imparfinis pijpersi",NA
"Centromochlus punctatus",NA
"Mellisuga helenae","Aves"
"Leiocephalus cubensis","Reptilia"
"Ancistrus temminckii",NA
"Nesara caramina","Insecta"
"Hemiodus quadrimaculatus",NA
"Leporinus friderici","Actinopterygii"
"Leporinus apollo",NA
"Amanita radiata",NA
"Orthomegas fragosoi",NA
"Bertiera bracteosa",NA
"Psychotria panamensis","Magnoliopsida"
"Arachnopeziza aurata","Leotiomycetes"
"Masturus lanceolatus","Actinopterygii"
"Diastictis argyralis","Insecta"
"Nesospingus speculiferus","Aves"
"Proliferodiscus pulveraceus",NA
"Hesperostipa spartea","Liliopsida"
"Macleania smithiana",NA
"Steropleurus pseudolus","Insecta"
"Armeria pungens","Magnoliopsida"
"Crematogaster pilosa","Insecta"
"Chalcoecia patricia","Insecta"
"Gaudeator paidicus","Insecta"
"Margaritifera margaritifera","Bivalvia"
"Creoxylus spinosus","Insecta"
"Dipsas brevifacies","Reptilia"
"Luzula bulbosa","Liliopsida"
"Sarota neglecta","Insecta"
"Pseudohaetera mimica","Insecta"
"Iris brevicaulis","Liliopsida"
"Hydrolea quadrivalvis","Magnoliopsida"
"Wettinia kalbreyeri","Liliopsida"
"Anolis eulaemus","Reptilia"
"Xyris subulata","Liliopsida"
"Xylaria primorskensis","Sordariomycetes"
"Sparagmia gonoptera","Insecta"
"Neargyractis slossonalis","Insecta"
"Gymnandrosoma trachycerus",NA
"Cobitis paludica",NA
"Semiothisa praelongata",NA
"Anadenobolus politus",NA
"Chalcostigma heteropogon","Aves"
"Amblyopsis hoosieri",NA
"Orconectes inermis",NA
"Antillogorgia acerosa",NA
"Trachylepis perrotetii","Reptilia"
"Brachythecium plumosum","Bryopsida"
"Philaethria diatonica","Insecta"
"Pygodasis quadrimaculata","Insecta"
"Bassaricyon medius",NA
"Lachesis stenophrys",NA
"Rehdera trinervis","Magnoliopsida"
"Sloanea picapica",NA
"Myscelus assaricus","Insecta"
"Aeonium volkeri",NA
"Bombylisoma notatum",NA
"Exhyalanthrax muscarius",NA
"Bombylella atra","Insecta"
"Usia aenea","Insecta"
"Parageron incisus","Insecta"
"Epitheca costalis","Insecta"
"Quadrella cynophallophora","Magnoliopsida"
"Albizia niopoides","Magnoliopsida"
"Diplostephium tenuifolium","Magnoliopsida"
"Diploglossus bilobatus","Reptilia"
"Volutaria canariensis","Magnoliopsida"
"Iris hexagona","Liliopsida"
"Oceanodroma furcata","Aves"
"Mylocheilus caurinus","Actinopterygii"
"Myoxocephalus quadricornis","Actinopterygii"
"Luzula confusa","Liliopsida"
"Lasius umbratus",NA
"Androniscus dentiger","Malacostraca"
"Tenthredo basilaris",NA
"Bombus monticola","Insecta"
"Eryngium falcatum",NA
"Heliotropium hirsutissimum","Magnoliopsida"
"Clinopodium pamphylicum",NA
"Helichrysum pamphylicum",NA
"Gonocytisus angulatus",NA
"Eupatorium kiirunense","Magnoliopsida"
"Euphorbia jolkinii","Magnoliopsida"
"Hypericum kamtschaticum","Magnoliopsida"
"Panthea coenobita","Insecta"
"Eupithecia abbreviata","Insecta"
"Lecanora argentata","Lecanoromycetes"
"Parmelia omphalodes","Lecanoromycetes"
"Conus distans",NA
"Leistus fulvibarbis","Insecta"
"Mutatoderma mutatum","Agaricomycetes"
"Thuridilla coerulea",NA
"Trogoderma angustum","Insecta"
"Ostorhinchus moluccensis","Actinopterygii"
"Sorbus rehderiana",NA
"Anacyclus valentinus","Magnoliopsida"
"Buddleja forrestii",NA
"Anchusa cretica","Magnoliopsida"
"Brachionycha nubeculosa","Insecta"
"Anthrenus museorum","Insecta"
"Emerita emeritus","Malacostraca"
"Nilaparvata lugens",NA
"Neocancilla circula","Gastropoda"
"Naria ocellata","Gastropoda"
"Cerioporus meridionalis",NA
"Homoeoxipha lycoides","Insecta"
"Genista sagittalis","Magnoliopsida"
"Seirophora villosa","Lecanoromycetes"
"Caracollina lenticula","Gastropoda"
"Ciboria coryli","Leotiomycetes"
"Cephalaria leucantha","Magnoliopsida"
"Squamarina lentigera","Lecanoromycetes"
"Spermophilus pygmaeus",NA
"Eupithecia semigraphata","Insecta"
"Ophrys bornmuelleri",NA
"Diploschistes diacapsis","Lecanoromycetes"
"Lariophagus distinguendus","Insecta"
"Euroleon nostras","Insecta"
"Aerva lanata","Magnoliopsida"
"Prenanthes petiolata",NA
"Adelges laricis","Insecta"
"Desmococcus olivaceus","Trebouxiophyceae"
"Ptilostomus afer","Aves"
"Macrocera phalerata",NA
"Gonitis mesogona","Insecta"
"Inula racemosa","Magnoliopsida"
"Isodon rugosus","Magnoliopsida"
"Cryptocentrus lutheri",NA
"Ianthocincla mitrata","Aves"
"Dundubia vaginata","Insecta"
"Cyana malayensis","Insecta"
"Chelostoma campanularum","Insecta"
"Callopistria flavitincta","Insecta"
"Indothemis carnatica","Insecta"
"Lomographa inamata","Insecta"
"Hydrobasileus croceus","Insecta"
"Ellobius talpinus","Mammalia"
"Tachyura diabrachys",NA
"Convolvulus oleifolius","Magnoliopsida"
"Brachygonia oculata","Insecta"
"Aciagrion hisopa",NA
"Herina tristis","Insecta"
"Aciagrion borneense","Insecta"
"Campylopus pilifer","Bryopsida"
"Pseudochromis aldabraensis",NA
"Lonchodes sanguineoligatus",NA
"Ichthyurus shelfordi",NA
"Pycnarmon cribrata","Insecta"
