"year","user.login","total_obs","total_obs_insect"
2019,"abbygailbarras",1,0
2019,"abbylatiolais",2,0
2019,"abbynash",2,0
2019,"abbyrauls",30,4
2019,"abbyrose",2,0
2019,"abbywhittington",1,0
2019,"abc213",10,7
2019,"abcurious",1,0
2019,"abd-hab1",1,0
2019,"abdullah_nazar",8,2
2019,"abdullah7",1,1
2019,"abe4",4,0
2019,"abear",17,2
2019,"abeborker",81,18
2019,"abeck365",514,174
2019,"abecker",15,4
2019,"abedholme",2,1
2019,"abeeman",21,4
2019,"abel29",1,0
2019,"abelthamby",16,1
2019,"abennettmargrave",1,1
2019,"abentonh",1,1
2019,"aberkov",370,234
2019,"abertomic",587,51
2019,"abginsburg",43,14
2019,"abhijit3",3,0
2019,"abhimahajan",2,1
2019,"abhimanyu1",12,0
2019,"abiagilelise",10,0
2019,"abicam2",1,0
2019,"abidingjedi",61,4
2019,"abigail_holt",14,0
2019,"abigail34",83,19
2019,"abigail95",267,39
2019,"abigailmm",146,4
2019,"abigailquarles",12,2
2019,"abigailrojas",1,0
2019,"abigailstpierre",3,1
2019,"abigial41",329,3
2019,"abischaj13",7,1
2019,"abkline",110,40
2019,"abl",1,0
2019,"abmdjoe",126,13
2019,"abombico",4,0
2019,"abonilla",14,0
2019,"abordi",1,0
2019,"abr",550,59
2019,"abraham_j_906",12,3
2019,"abraham_perez",5,0
2019,"abrahamgutierrez",26,2
2019,"abramrosas",17,0
2019,"abrauer1",27,4
2019,"abrendel",5,0
2019,"abriellebailey",14,0
2019,"abriljc",1,1
2019,"absoluteandy",148,15
2019,"abuela9",4,1
2019,"aburke",194,24
2019,"aburley",15,1
2019,"abutraconis25",36,10
2019,"abyuribe",6,0
2019,"ac_pt",200,83
2019,"ac1ddra90n",2,1
2019,"acafri",26,1
2019,"acamer",6,0
2019,"acamt",9,1
2019,"acanthaster",12,0
2019,"acanthusmxmli",342,18
2019,"acastellanos",19,3
2019,"acatt",8,0
2019,"acceberbackwards",55,5
2019,"accesopublicitariopuertovallarta",1,0
2019,"accipiter56",467,42
2019,"accordiongordon",290,6
2019,"acer2018",1,0
2019,"acetileno",52,17
2019,"achang",156,22
2019,"acharters94",18,4
2019,"achiodi",21,5
2019,"achong26",77,3
2019,"achyutone",2,0
2019,"acidlinktest",4,3
2019,"aclaborn",499,243
2019,"aclement",9,4
2019,"acme309",3,0
2019,"acmorr17",14,1
2019,"acollerton",4,1
2019,"acollins95125",6,0
2019,"acomaria",1,0
2019,"acorncap",863,88
2019,"acorns",57,4
2019,"acorona",28,1
2019,"acosta_r_904",7,1
2019,"acoval",5,0
2019,"acpb",1,0
2019,"acreklaw",50,14
2019,"acsidental",1,0
2019,"act_ruralservices",2,0
2019,"actater",5,1
2019,"acuatica",4,1
2019,"acurtis",11,6
2019,"ada13",2,2
2019,"adaaading",85,0
2019,"adabos",1,1
2019,"adair",191,62
2019,"adam_808",76,6
2019,"adam304",1,0
2019,"adam305",6,0
2019,"adamadriatico",2,1
2019,"adambryant",968,41
2019,"adamganson",25,0
2019,"adamkeith",45,3
2019,"adamkeith1",1,0
2019,"adamlerchenfeld",8,0
2019,"adammyates",62,2
2019,"adamold",328,82
2019,"adams_kaylee_112",10,4
2019,"adamseroka",176,4
2019,"adamt2",119,7
2019,"adamtun",4,0
2019,"adamxxp",250,43
2019,"adamyeoman",18,7
2019,"adansie",13,1
2019,"adantapia",4,0
2019,"adarb",7,3
2019,"adavenf",11,1
2019,"adclar3",3,0
2019,"addie11",13,2
2019,"addieswenson",39,12
2019,"addyblaxter22",7,0
2019,"addylynnn",2,0
2019,"adeangulo23",3,0
2019,"adebayo_r_04",10,2
2019,"adeleburroni",1,0
2019,"adellabella",24,5
2019,"adelpha",30,2
2019,"adelsonrochadantas",1,0
2019,"adenaarviso",42,11
2019,"adenomar",2,2
2019,"adevries75",2,0
2019,"adfloyd",435,112
2019,"adiamond",3233,288
2019,"adibou",1,0
2019,"adil-kuhs",4,0
2019,"adil1901",9,3
2019,"adimaggio",4,0
2019,"adit",222,150
2019,"adityadhiran",9,0
2019,"adlaurie",46,6
2019,"adlerdehm",2,0
2019,"adlu",22,1
2019,"adnanilyas",35,15
2019,"adnanshihabi",16,2
2019,"adnohrtrf",1,0
2019,"adohryienl",6,0
2019,"adorantes",355,46
2019,"adpgdl",4,0
2019,"adrained",344,54
2019,"adriamir",10,0
2019,"adrian114",80,6
2019,"adrian169",7,3
2019,"adrian179",1,0
2019,"adrian182",3,0
2019,"adriana07",1,0
2019,"adriana87",10,1
2019,"adrianabianco",21,0
2019,"adrianabowen",3,0
2019,"adrianaguilar",6,0
2019,"adriananelly",762,203
2019,"adriananiembromontes",11,0
2019,"adrianarosado",1,1
2019,"adrianbt_itea",2,0
2019,"adriancc",3,0
2019,"adriang1",2,1
2019,"adriangalarza",1,1
2019,"adriangrc24",17,1
2019,"adriangzz99",158,10
2019,"adrianjana",205,22
2019,"adrianjin",7,0
2019,"adrianlandreth",4,1
2019,"adriannachow",10,0
2019,"adrianorocharodrigues",2,2
2019,"adriee",21,5
2019,"adrienne49",1,0
2019,"adrienne61",1,0
2019,"adriennec32",15,8
2019,"adriennemoore",69,14
2019,"adriennenicotra",6,0
2019,"adriennepatrick",8,0
2019,"adrims12",4,1
2019,"adrinou",485,271
2019,"adriscoll",629,387
2019,"adrivireo",7,1
2019,"adsonlucas",1,0
2019,"adsweet",14,6
2019,"adub360",1,0
2019,"aduval22",1026,30
2019,"adv7440",28,0
2019,"adventure_us",89,2
2019,"adventurebird",157,2
2019,"adventurejustin",14,0
2019,"adventureswithboy123",40,8
2019,"adventurorrs",44,14
2019,"adventurous_mitch",5,3
2019,"adzebill",136,15
2019,"aebrewster",26,0
2019,"aec0922",1,0
2019,"aecardenas",18,1
2019,"aechols",3,0
2019,"aedansruibhuaine",2,0
2019,"aefisher",66,10
2019,"aegrant",24,3
2019,"aekstrom97",2,0
2019,"aellis",85,5
2019,"aelliso7",1,0
2019,"aelmore",32,5
2019,"aemelton",245,15
2019,"aemieles",17,3
2019,"aepafrica",176,1
2019,"aepetro2",5,0
2019,"aepigmenio",374,159
2019,"aeranis",55,20
2019,"aerobird",1407,1167
2019,"aespino23",1,0
2019,"aestokes",24,9
2019,"aeterno",187,29
2019,"aethanb",15,3
2019,"aevankeuren",36,27
2019,"aezammit",297,55
2019,"aezon",2,2
2019,"afaulkner",95,10
2019,"afbv",28,15
2019,"afc10",25,6
2019,"afdezrincon",29,6
2019,"afenn",6,0
2019,"aferreyros",3,1
2019,"afigueroa",115,10
2019,"afitz",88,7
2019,"afluharty",77,40
2019,"afnoesta",90,2
2019,"afroherpkeeper",19,5
2019,"afruci",3,2
2019,"afsj",61,1
2019,"afsto",5,4
2019,"afstraight",8,0
2019,"afterxander",1,0
2019,"afuller19",2,0
2019,"agaggino",88,13
2019,"agama-girl",319,37
2019,"aganieszka",1,0
2019,"aganse",2918,2226
2019,"agaporni",31,14
2019,"agave6_tomwalker",863,8
2019,"agboola",95,11
2019,"agdunstan",4,0
2019,"ageo",86,0
2019,"aggie_wildlifer",746,240
2019,"aggierob",1,0
2019,"aggntalla",4,0
2019,"agjackson1",9,9
2019,"aglesing",18,3
2019,"aglevy",1,0
2019,"aglo",2,1
2019,"agmcmll",495,71
2019,"agneka",1,0
2019,"agnes26",1,1
2019,"agnovell",15,7
2019,"agoerlt",169,33
2019,"agonzalez393",319,69
2019,"agonzalo",2439,217
2019,"agoodhue",12,0
2019,"agrant77",3,0
2019,"agriffin6",9,0
2019,"agroecologo",162,17
2019,"agsqwerty",89,39
2019,"agteach97",55,12
2019,"aguerrero94",5,0
2019,"agufana",3,1
2019,"agugn",1,1
2019,"aguilareal",25,4
2019,"aguilarl22",2,0
2019,"aguirrdan",15,2
2019,"aguirre_c",16,2
2019,"agunchos",2,0
2019,"agustina_de_leon22",5,0
2019,"agustina8",1,1
2019,"agustinavila",16,8
2019,"agustinbosqueasalvo",2,0
2019,"agustincortes",1,0
2019,"agustnxoconostle",2,1
2019,"ahaislip",470,43
2019,"ahalbroo",25,4
2019,"ahan88",360,109
2019,"ahawleyla",98,12
2019,"ahazlett",30,6
2019,"ahdae916",10,2
2019,"ahempel",10,1
2019,"aheuvelm",18,2
2019,"ahimsavet",18,1
2019,"ahiroyuki",18,5
2019,"ahmedmujcinovic",665,129
2019,"ahna_knudsen",18,1
2019,"aholland08",2,0
2019,"ahsttraotee",70,26
2019,"ahubbard00",11,1
2019,"ahuereca",1163,29
2019,"ahuffaz",4,1
2019,"ahunt01",7,0
2019,"ai_gsc_sg",6,2
2019,"aibanezl",4,1
2019,"aic0pley",8,1
2019,"aidan18",4,0
2019,"aidan42",2,0
2019,"aidanangus",7,0
2019,"aidancampbell",9,1
2019,"aidansullivan",45,14
2019,"aidenn",1,0
2019,"aidruck",1,1
2019,"aigner",1083,18
2019,"aika1",14,6
2019,"ailanna",13,0
2019,"aileen9",2,0
2019,"ailfegiggles",782,532
2019,"ailinadawn",1,0
2019,"ailton",2,0
2019,"aimeee",33,0
2019,"aimeelusty",682,39
2019,"aimeepelletier",2074,18
2019,"aimz2416",1,1
2019,"airbasek8",70,0
2019,"aireona93",2,0
2019,"airtonabonato",1,1
2019,"aishathani",11,1
2019,"aisling78",200,12
2019,"aislinnferris",155,0
2019,"aispinsects",380,339
2019,"aisti",249,54
2019,"aitorlahuerta",6,0
2019,"aivarson",6,0
2019,"aiwendil",122,2
2019,"aizhu",9,0
2019,"aj44",2,0
2019,"ajackson",24,7
2019,"ajaco005",250,17
2019,"ajakew",12,1
2019,"ajamalabad",139,3
2019,"ajay10",1,0
2019,"ajayr",204,9
2019,"ajbj",52,0
2019,"ajblake",832,196
2019,"ajbradley",14,0
2019,"ajcaguiar",84,36
2019,"ajcurrie",19,1
2019,"ajeshkottur",12,4
2019,"ajferrara",13,1
2019,"ajft",12,4
2019,"ajh05230",1,0
2019,"ajimen01",1,0
2019,"ajithegde",4,0
2019,"ajitkumar16",103,1
2019,"ajityagaty",10,0
2019,"ajmatthews",82,18
2019,"ajohnathonl",13,3
2019,"ajpearre",4,0
2019,"ajpto",701,100
2019,"ajsibb",77,1
2019,"ajtarnas",47,7
2019,"ajvanh-arch",115,32
2019,"ajvoo",2,0
2019,"ajwright",915,17
2019,"ajzellmer",28,12
2019,"akalmbac",2,1
2019,"akaram",17,2
2019,"akarve",2,0
2019,"akasha",19,4
2019,"akated",13,2
2019,"akatherinep",16,3
2019,"akayuko",5,2
2019,"akeil",1,1
2019,"akeirah",15,3
2019,"akermath",20,6
2019,"akheloufi",76,34
2019,"akhiara",86,9
2019,"akhnoukh_k_8",12,1
2019,"akilan",83,21
2019,"akilee",3538,1124
2019,"akiralobo",2312,46
2019,"akiran",12,1
2019,"akk390409",2,0
2019,"akmelr",1,0
2019,"akmihara",35,0
2019,"akms1673",1,0
2019,"akneidel",578,246
2019,"akozak4",160,9
2019,"akpui",1,0
2019,"akr0013",28,3
2019,"akrohn",244,19
2019,"akrotulski",7,2
2019,"akuauhtli",31,0
2019,"al-liaceae",284,14
2019,"al_eon",9,0
2019,"al_kordesch",1455,45
2019,"al15",1,0
2019,"alaa-e",7,5
2019,"alabamaplants",1686,230
2019,"alacy",4,1
2019,"alain22",8,1
2019,"alaina9",3,0
2019,"alam_r_21",12,1
2019,"alan_duke",20,15
2019,"alan_rockefeller",2614,36
2019,"alan1000",18,0
2019,"alan174",1,0
2019,"alana36",2,0
2019,"alanarama3",28,3
2019,"alanbragg",254,2
2019,"alandextrase",478,94
2019,"alandmanson",319,207
2019,"alanhands",2,0
2019,"alanhernandez1",3,1
2019,"alanhorstmann",274,0
2019,"alanking",219,29
2019,"alankramer",3,3
2019,"alankwok",4987,3018
2019,"alanlwt",41,13
2019,"alanmedina19",1,0
2019,"alanmuchlinski",177,16
2019,"alannak",44,0
2019,"alanowyong",111,111
2019,"alanrawlings",1,1
2019,"alaprod",4,0
2019,"alasdair3",1,0
2019,"alastairmacdonald",3,0
2019,"alastairpotts",70,0
2019,"alava_r_014",9,1
2019,"alazere",337,104
2019,"albabonetpau",7,0
2019,"albaduran",5,0
2019,"albanr",2,1
2019,"albeer23",299,7
2019,"albert52",112,36
2019,"albert72",1,0
2019,"albertadamnoriega",1,0
2019,"albertbarkhurst",1,0
2019,"alberthomikhaylo",24,5
2019,"alberto_benedos",6,0
2019,"alberto_lozano",1370,60
2019,"alberto_ochoa59",55,4
2019,"alberto_wong",27,1
2019,"alberto212",3,2
2019,"alberto217",1,0
2019,"alberto240",1,0
2019,"alberto242",1,0
2019,"alberto244",1,0
2019,"albertocarrasco",13,9
2019,"albertofdiego",9,0
2019,"albertojavier",1,0
2019,"albertus",18,7
2019,"albertyu",83,17
2019,"albhand",17,1
2019,"albinolucarelli",6,2
2019,"albiserious",18,0
2019,"albouma",1,0
2019,"albullington",218,19
2019,"albuschung",2,2
2019,"alcarazkarla13",8,5
2019,"alcedo77",64,12
2019,"alchemist2000",1926,780
2019,"alchemist2001",22,1
2019,"ald0426",1,0
2019,"alder8",71,1
2019,"alderash",253,128
2019,"alderjulius",429,93
2019,"aldoluna_28",2,0
2019,"aldozj",4,0
2019,"aleanneh",10,4
2019,"aleasi",14,3
2019,"alebayer",4,2
2019,"alebron",6,0
2019,"aleburi",13,4
2019,"alec19",5,2
2019,"alecapodaca",1,0
2019,"alecia_birds",13,0
2019,"alecoliver",26,7
2019,"alecwhitten",1,0
2019,"aledyna",18,0
2019,"alefloresramiro",793,63
2019,"alegatocamarena",303,28
2019,"aleighrose",47,11
2019,"alejandraarteaga",10,1
2019,"alejandrabalcazar",5,1
2019,"alejandramf",1,0
2019,"alejandraramrez",1,0
2019,"alejandro_a",18,3
2019,"alejandro_acosta",10,0
2019,"alejandro_braulio",16,10
2019,"alejandro1291",2,0
2019,"alejandro132",6,3
2019,"alejandro191",3,1
2019,"alejandro236",21,4
2019,"alejandro256",1,1
2019,"alejandro269",1,0
2019,"alejandroaguilar",132,47
2019,"alejandrobolaos",2,0
2019,"alejandrodulove",6,2
2019,"alejandrojimenezaguilar",14,6
2019,"alejandromolina",12,0
2019,"alejandrorezahernndez",30,1
2019,"alejo15",8,2
2019,"aleksandergolemaj",461,316
2019,"aleksandra_falcon",101,7
2019,"alekseyandreyanov",59,10
2019,"alekseyfaraway",247,0
2019,"alemsqdt",11,6
2019,"alen-jbo",4,1
2019,"alenakillpack",23,1
2019,"alenard8",174,23
2019,"alep",500,66
2019,"aleques",5,2
2019,"alesacbel",232,5
2019,"alesmazzo",1028,628
2019,"alesotoprado",1,0
2019,"alessandradalia",683,470
2019,"alessandrarosso",20,2
2019,"alessandro_bergamo",845,487
2019,"alessandro_gentilini",10,2
2019,"alessandro253",2,0
2019,"alessandrocampanaro",33,16
2019,"alessandroforghieri",15,1
2019,"alessandroforti",93,3
2019,"alessandroserpenti",29,12
2019,"alessio_fotofriz",1,0
2019,"aleta1",2,0
2019,"aleturkmen",725,361
2019,"alex-y-mushroom-eyes",7,1
2019,"alex_abair",876,24
2019,"alex_bairstow",1731,129
2019,"alex_cicindela_guy",819,561
2019,"alex_is_cool",35,5
2019,"alex_mota",30,2
2019,"alex_ramirez",4,4
2019,"alex_viera",62,0
2019,"alex10",70,1
2019,"alex2607",47,3
2019,"alex27",15,1
2019,"alex2835",2,0
2019,"alex307",53,2
2019,"alex506",26,5
2019,"alex528",3,0
2019,"alex740",1,0
2019,"alex787",59,8
2019,"alex807",7,2
2019,"alex861",46,0
2019,"alexa11",31,1
2019,"alexa60",1,0
2019,"alexaapost",15,2
2019,"alexaldanese",21,0
2019,"alexander-kern",4,0
2019,"alexander_b_west",62,5
2019,"alexander_m_16",14,2
2019,"alexander234",1,0
2019,"alexander48",1,0
2019,"alexander60",3,0
2019,"alexanderano",28,0
2019,"alexanderdubynin",521,9
2019,"alexandergrimes",5,0
2019,"alexanderjones26",11,0
2019,"alexandermartinez",43,1
2019,"alexanderprice",530,123
2019,"alexanderr",406,38
2019,"alexandersousa",1,0
2019,"alexandra137",55,9
2019,"alexandra194",1,0
2019,"alexandra567",9,6
2019,"alexandra632",14,0
2019,"alexandraahmad",88,13
2019,"alexandraemery",30,1
2019,"alexandrakleeman",1,0
2019,"alexandranorwood",5,0
2019,"alexandraperry2",194,29
2019,"alexandrasouza",2,1
2019,"alexandre52",5,1
2019,"alexandre54",4,0
2019,"alexandrelopes",6,3
2019,"alexandria",34,3
2019,"alexandria16",1,0
2019,"alexandria20",1,0
2019,"alexandria22",32,0
2019,"alexandriagreenidge",8,0
2019,"alexandrium",22,0
2019,"alexandrkochetkov",944,3
2019,"alexandro4",1,0
2019,"alexanimalphotos",252,32
2019,"alexanor62",6,6
2019,"alexart06",11,0
2019,"alexb0000",259,17
2019,"alexbeardsley",24,2
2019,"alexburton",7,0
2019,"alexc243",8,1
2019,"alexcarmichael",2,0
2019,"alexccfarias",26,13
2019,"alexcoburn",28,4
2019,"alexct",40,16
2019,"alexcuratolo",13,1
2019,"alexdelapaz",297,0
2019,"alexdietrick",1,0
2019,"alexeiebel",2324,136
2019,"alexela",8,4
2019,"alexeyromanchuk",2,0
2019,"alexfoote",7,0
2019,"alexg1",2,0
2019,"alexgallandt",9,0
2019,"alexgawley",8,1
2019,"alexgraeff",1554,40
2019,"alexgzz25",1,0
2019,"alexhinojo",1,0
2019,"alexia14",3,0
2019,"alexias",3,0
2019,"alexip718",10,0
2019,"alexis_amphibian",2887,785
2019,"alexis_orion",13035,2043
2019,"alexis163",17,3
2019,"alexis168",88,0
2019,"alexis205",1,0
2019,"alexisbowden",78,6
2019,"alexischapman",13,5
2019,"alexiscolbym",286,29
2019,"alexisdurant",4,0
2019,"alexisfojtik",145,6
2019,"alexislifers",84,2
2019,"alexisofthesea",14,4
2019,"alexisph",1,0
2019,"alexiszerangue",1,0
2019,"alexiz",108,2
2019,"alexjesk",4,3
2019,"alexkelley",186,17
2019,"alexkharper",144,10
2019,"alexlamoreaux",1479,318
2019,"alexluzitano",8,1
2019,"alexmor",998,155
2019,"alexmtt",140,29
2019,"alexnavarro13",1,0
2019,"alexnelson",31,5
2019,"alexpell",6,2
2019,"alexperezromo",1,0
2019,"alexpyrocephalus",131,22
2019,"alexrischette",2,0
2019,"alexsen",24,11
2019,"alexshepard",139,27
2019,"alexstacy",115,9
2019,"alexsu",90,10
2019,"alextait",4,0
2019,"alextamboury",1,0
2019,"alextrimpe",15,0
2019,"alextrudelle",4,0
2019,"alexvalencia",4,1
2019,"alexward",21,0
2019,"alexwcranston",28,4
2019,"alexxharlow",89,12
2019,"alexzapa",3,0
2019,"alezayas",5,2
2019,"alfa1",1,0
2019,"alfhaomega",1,0
2019,"alflinn329",3165,164
2019,"alfonso43",2,0
2019,"alfonso69",12,4
2019,"alfonsocm",5,0
2019,"alfonsoriva",2,0
2019,"alfonsoz",10,0
2019,"alfrd",31,6
2019,"alfredfreeberg",40,0
2019,"alfredj15",79,24
2019,"alfredo914",389,27
2019,"alfredoavila",195,40
2019,"alfredoeloisa",39,22
2019,"alfredomakainas",1,0
2019,"alfredopineda",1,0
2019,"alfredovillalobos",34,8
2019,"alfrezw",9,7
2019,"alhram",342,139
2019,"aliandbrice",45,8
2019,"aliashraf",426,97
2019,"aliaw",450,33
2019,"alibird1",85,9
2019,"alibovwa",3,0
2019,"alice_abela",239,193
2019,"alice_shanks",496,28
2019,"alicefanfy",3,0
2019,"alicejz",12,4
2019,"alicemaryherden",816,198
2019,"alicerauchdavis",14,0
2019,"alicewu",1,0
2019,"alichtstein",3,0
2019,"alicia_h",8,1
2019,"alicia6",3,0
2019,"aliciakerr",10,1
2019,"aliciamstt",15,1
2019,"aliciapang",3,0
2019,"alicoker",8,1
2019,"alie-reeves",68,4
2019,"alieana008",14,4
2019,"alifrase",12,6
2019,"alijahsage",8,0
2019,"alimleslie",9,3
2019,"alinaboksorn",1910,17
2019,"alinaf",19,2
2019,"alinagoncharova",16,3
2019,"alindley",10,2
2019,"aline_morrow",45,6
2019,"aline45",3,0
2019,"alinelopes",2,0
2019,"alirio1",1,1
2019,"alishaabraham",1,0
2019,"alishab22",19,1
2019,"alishalopez85",56,43
2019,"alishamcmahon",115,4
2019,"alison_pollack",49,0
2019,"alison_young",163,2
2019,"alison118",1,0
2019,"alison50",1,1
2019,"alison54",4,2
2019,"alisonboy",2,0
2019,"alisonc90",1,0
2019,"alisonconrad",25,3
2019,"alisonnorthup",3560,214
2019,"alisonstephens",1,0
2019,"alisonwanderland",7,0
2019,"alistairrjones",1,0
2019,"alix3",12,1
2019,"alixcasey",11,2
2019,"alixfoster",4,0
2019,"alixsinger",3,2
2019,"alizakaplan",11,2
2019,"alize_b",6,0
2019,"alkaelani_m_013",9,2
2019,"alkiro",24,10
2019,"alkylate",74,8
2019,"allan7",802,242
2019,"allanf",34,5
2019,"allanlugg",1541,34
2019,"allehsawn",47,4
2019,"allen20",19,0
2019,"allenaltman",2,0
2019,"allende1194",66,0
2019,"allenlyu",233,21
2019,"allenm26",22,1
2019,"allenratzlaff",597,407
2019,"allenrmiller",3,0
2019,"allents1969",2,0
2019,"allieb",4,0
2019,"alliebeeray",22,5
2019,"allieflores",1,0
2019,"alliekat8",24,8
2019,"allieknees",85,8
2019,"alliela",30,2
2019,"alliemaclay123",3,0
2019,"alliepetersen",21,1
2019,"alliesmith",20,2
2019,"alligatorlizard",240,43
2019,"allison_c",11,7
2019,"allison_formica",17,2
2019,"allison_patrick",208,6
2019,"allison151",61,17
2019,"allison189",13,0
2019,"allison57",5,0
2019,"allison97",17,2
2019,"allisonbogisich",8,0
2019,"allisoncowart",2,2
2019,"allisonfp",5,3
2019,"allisonhickey",10,4
2019,"allisonjgong",1259,10
2019,"allisonkn",22,0
2019,"allisonvon",24,4
2019,"allisterrutledge",10,5
2019,"allmeandonlyme",3,1
2019,"allnaturalmermaid",59,8
2019,"allopatry",71,5
2019,"allosaurus",2,0
2019,"alloutdoors22",179,17
2019,"alluvial_van",40,0
2019,"allychii",1,0
2019,"allyjune",2,0
2019,"allypfeil",1,0
2019,"allyson11",3,1
2019,"allysonota",10,0
2019,"alma37",1,0
2019,"almabosqueasalvo",5,0
2019,"almadillo",30,9
2019,"almantas",1796,186
2019,"almaserrano",1,0
2019,"almendrakind",2,0
2019,"almeyda64",87,3
2019,"almitra",189,8
2019,"alnehayan_mohammed",3,0
2019,"alnehayan_zayed",5,0
2019,"alo1213pa",1,0
2019,"alobos27",2,0
2019,"alojosephine",84,1
2019,"alondon1357",114,17
2019,"aloooo",14,6
2019,"alp2564",3,0
2019,"als93",293,19
2019,"alsamci",23,0
2019,"alsarfati",1,0
2019,"alsion",591,189
2019,"alsonteo",70,68
2019,"altair",36,2
2019,"altamira_l_008",8,2
2019,"althesquid",18,9
2019,"altitudesickness",22,4
2019,"altriflorestal",22,9
2019,"altum",5,0
2019,"alulu",2,0
2019,"alus",1,0
2019,"alusheva",50,9
2019,"alusk",762,50
2019,"alvarez_c_14",11,2
2019,"alvarez_l_907",11,2
2019,"alvarezyopescador",173,17
2019,"alvaro_ortola",20,10
2019,"alvaroalvaradomontealto",1722,406
2019,"alvarocampos",2,1
2019,"alvaropino1",1,1
2019,"alvarovilla",31,0
2019,"alver",15,6
2019,"alvinwlee",3,2
2019,"alvinwu",234,24
2019,"alwaysthebirds",1,0
2019,"alwoodhouse",171,45
2019,"alwyn",68,0
2019,"alxa_mpv",1,1
2019,"alyafzae",2,0
2019,"alyco",53,9
2019,"alygator",3,1
2019,"alyrrrr",3,0
2019,"alys2",3,0
2019,"alyska",75,5
2019,"alyson14",175,32
2019,"alysonashe",1,1
2019,"alysonemery",113,0
2019,"alyssa113",2,1
2019,"alyssa152",1,0
2019,"alyssa153",4,0
2019,"alyssah23",6,3
2019,"alyssamuench",122,13
2019,"alyssaroth",3,0
2019,"alyssawagner",1,0
2019,"amad1",25,0
2019,"amadorios",151,4
2019,"amadorsan",48,15
2019,"amailhos",19,2
2019,"amalgama",236,0
2019,"amalia_mclaren",3,0
2019,"amanda_valois",3,3
2019,"amanda1978",1,0
2019,"amanda2022",4,0
2019,"amanda227",12,0
2019,"amanda270",1,0
2019,"amanda290",1,0
2019,"amanda531",14,4
2019,"amanda563",3,0
2019,"amanda625",36,3
2019,"amanda630",1,0
2019,"amanda632",1,0
2019,"amanda635",1,0
2019,"amanda646",2,0
2019,"amandab70",8,1
2019,"amandablakney",13,5
2019,"amandacastaneda",8,2
2019,"amandaconda",34,2
2019,"amandajb35",540,96
2019,"amandajean",207,19
2019,"amandakay",14,9
2019,"amandamcc",3,1
2019,"amandaolson",29,4
2019,"amandaplant",2,0
2019,"amandapoland",97,14
2019,"amandapreece",2,0
2019,"amandasingh",10,0
2019,"amandawhitmire",15,2
2019,"amandayu",6,0
2019,"amandineabn",50,8
2019,"amanitame",4,0
2019,"amanteufel",11,3
2019,"amarae99",40,0
2019,"amarbharathy",76,30
2019,"amarcianae",416,262
2019,"amariah",13,3
2019,"amarsh",78,9
2019,"amartinez21",25,2
2019,"amarurubio",300,37
2019,"amarzee",2150,129
2019,"amataka1",130,15
2019,"amatue",1,0
2019,"amayaliliana_l_16",5,1
2019,"amayer",2,0
2019,"amazoonico",248,1
2019,"amb71299",1,0
2019,"ambegs77",5,0
2019,"amber_flores18",33,16
2019,"amber113",119,17
2019,"amber146",145,106
2019,"amber254",1,0
