"region","year","scientific_name","num_obs","research_grade"
"MD",2017,"Antheraea polyphemus",17,1
"MD",2017,"Ceratomia catalpae",19,1
"MD",2017,"Citheronia regalis",5,1
"MD",2017,"Cycnia tenera",6,1
"MD",2017,"Danaus plexippus",61,1
"MD",2017,"Datana ministra",9,0.666666666666667
"MD",2017,"Eacles imperialis",9,1
"MD",2017,"Estigmene acrea",10,0.6
"MD",2017,"Euchaetes egle",21,1
"MD",2017,"Eumorpha pandorus",11,1
"MD",2017,"Euptoieta claudia",10,1
"MD",2017,"Halysidota harrisii",21,1
"MD",2017,"Halysidota tessellaris",32,0.9375
"MD",2017,"Hypercompe scribonia",36,0.861111111111111
"MD",2017,"Hyphantria cunea",60,0.95
"MD",2017,"Malacosoma americana",13,1
"MD",2017,"Manduca sexta",5,1
"MD",2017,"Nadata gibbosa",6,0.833333333333333
"MD",2017,"Noctua pronuba",7,0.571428571428571
"MD",2017,"Orgyia leucostigma",32,1
"MD",2017,"Papilio glaucus",5,0.8
"MD",2017,"Papilio polyxenes",32,1
"MD",2017,"Phosphila turbulenta",8,1
"MD",2017,"Pyrrharctia isabella",80,0.9875
"MD",2017,"Spilosoma virginica",31,0.451612903225806
"MD",2017,"Spodoptera ornithogalli",5,0.4
"MD",2018,"Acharia stimulea",22,1
"MD",2018,"Acronicta americana",47,1
"MD",2018,"Acronicta impleta",6,0.833333333333333
"MD",2018,"Acronicta insularis",6,1
"MD",2018,"Acronicta oblinita",35,0.942857142857143
"MD",2018,"Actias luna",12,1
"MD",2018,"Anisota senatoria",14,0.642857142857143
"MD",2018,"Antheraea polyphemus",20,1
"MD",2018,"Apatelodes torrefacta",5,1
"MD",2018,"Callosamia angulifera",5,0.2
"MD",2018,"Calpodes ethlius",5,1
"MD",2018,"Ceratomia catalpae",7,1
"MD",2018,"Danaus plexippus",149,1
"MD",2018,"Datana integerrima",7,0.428571428571429
"MD",2018,"Datana ministra",7,0.142857142857143
"MD",2018,"Eacles imperialis",26,1
"MD",2018,"Estigmene acrea",12,0.5
"MD",2018,"Euchaetes egle",23,1
"MD",2018,"Eumorpha pandorus",7,1
"MD",2018,"Euptoieta claudia",7,0.857142857142857
"MD",2018,"Halysidota harrisii",25,1
"MD",2018,"Halysidota tessellaris",46,0.934782608695652
"MD",2018,"Hyles lineata",6,1
"MD",2018,"Hypercompe scribonia",36,0.777777777777778
"MD",2018,"Hyphantria cunea",180,0.833333333333333
"MD",2018,"Isa textula",5,1
"MD",2018,"Junonia coenia",8,1
"MD",2018,"Malacosoma americana",10,1
"MD",2018,"Noctua pronuba",10,0.3
"MD",2018,"Orgyia definita",5,1
"MD",2018,"Orgyia leucostigma",29,0.931034482758621
"MD",2018,"Papilio glaucus",5,0.8
"MD",2018,"Papilio polyxenes",46,0.978260869565217
"MD",2018,"Papilio polyxenes asterius",6,1
"MD",2018,"Papilio troilus",9,1
"MD",2018,"Phosphila turbulenta",6,1
"MD",2018,"Pyrrharctia isabella",170,0.947058823529412
"MD",2018,"Scolecocampa liburna",5,0.6
"MD",2018,"Spilosoma congrua",5,0.6
"MD",2018,"Spilosoma virginica",37,0.486486486486487
"MD",2018,"Spodoptera ornithogalli",22,0.636363636363636
"MD",2019,"Acronicta americana",27,0.740740740740741
"MD",2019,"Actias luna",6,0.833333333333333
"MD",2019,"Amphipyra pyramidoides",5,0.6
"MD",2019,"Anisota senatoria",18,0.277777777777778
"MD",2019,"Callosamia angulifera",8,0.75
"MD",2019,"Ceratomia catalpae",6,0.833333333333333
"MD",2019,"Chlosyne nycteis",12,0.666666666666667
"MD",2019,"Cucullia convexipennis",6,0.5
"MD",2019,"Cycnia tenera",5,0.4
"MD",2019,"Danaus plexippus",65,1
"MD",2019,"Datana integerrima",14,0.571428571428571
"MD",2019,"Datana ministra",8,0.125
"MD",2019,"Dryocampa rubicunda",9,1
"MD",2019,"Epargyreus clarus",6,0.833333333333333
"MD",2019,"Epimecis hortaria",5,0.6
"MD",2019,"Euchaetes egle",21,1
"MD",2019,"Euptoieta claudia",7,0.857142857142857
"MD",2019,"Evergestis rimosalis",7,0.857142857142857
"MD",2019,"Halysidota harrisii",33,0.909090909090909
"MD",2019,"Halysidota tessellaris",42,0.619047619047619
"MD",2019,"Hypercompe scribonia",31,0.774193548387097
"MD",2019,"Hyphantria cunea",111,0.693693693693694
"MD",2019,"Junonia coenia",6,0.833333333333333
"MD",2019,"Malacosoma americana",25,0.96
"MD",2019,"Manduca sexta",12,1
"MD",2019,"Nadata gibbosa",5,0.6
"MD",2019,"Orgyia leucostigma",12,0.833333333333333
"MD",2019,"Papilio glaucus",9,1
"MD",2019,"Papilio polyxenes",39,0.948717948717949
"MD",2019,"Papilio troilus",6,1
"MD",2019,"Pyrrharctia isabella",30,0.9
"MD",2019,"Saucrobotys futilalis",6,0.333333333333333
"MD",2019,"Scolecocampa liburna",6,0.333333333333333
"MD",2019,"Spilosoma congrua",10,0.8
"MD",2019,"Spilosoma virginica",18,0.444444444444444
"MD",2019,"Spodoptera ornithogalli",8,0
"MD",2019,"Vanessa virginiensis",7,1
