"year","user_login","n_days","n_spp","n_obs"
"2008","balsamlakecluster",13,116,228
"2008","balzs9",5,9,11
"2008","bandonman",1,2,2
"2008","banelock",1,1,1
"2008","banshee",1,1,1
"2008","bapeck8",1,1,1
"2008","barbara_lovatt",2,5,7
"2008","barbara_nicholas",1,7,7
"2008","barbara_petre",1,8,8
"2008","barbara_robertson",1,4,4
"2008","barbara_sangster",1,1,1
"2008","barbara_susan",1,2,2
"2008","barbara_taylor",7,7,7
"2008","barbara_weavers",1,1,1
"2008","barbarasing",1,1,1
"2008","barbavery",2,2,2
"2008","barbetboy",58,89,104
"2008","barrie_allam",1,11,11
"2008","barrie_marsh",1,5,5
"2008","barry_smith",1,2,2
"2008","barrybridgeford",2,2,2
"2008","barryl",1,3,3
"2008","barrymartin",1,1,1
"2008","barthelemy",18,15,20
"2008","baseline",5,9,9
"2008","bashibazouks",2,20,20
"2008","basilb",2,16,16
"2008","bastiaan",48,208,347
"2008","bastian",3,4,4
"2008","batikat",3,4,4
"2008","battwell",1,3,3
"2008","batworker",1,2,2
"2008","baxter-birdnird",3,3,3
"2008","bbull",9,16,17
"2008","bbunny",2,2,2
"2008","bburns",1,2,2
"2008","bchambers",5,7,7
"2008","bchisholm",2,3,3
"2008","bcrainium",1,1,1
"2008","bcullen",3,3,3
"2008","bdovester",1,1,1
"2008","bdunc",14,18,18
"2008","beachbumagg",1,2,2
"2008","beartracker",24,25,29
"2008","beatrizpadilla",5,6,6
"2008","beepboop",4,5,5
"2008","beerolha",1,1,1
"2008","beetle23",10,18,18
"2008","beetledude",2,2,2
"2008","bekkita",2,2,2
"2008","bekw_gasj",1,1,1
"2008","belemqueuedelapin",4,4,4
"2008","belgomex",6,9,9
"2008","belinda",27,38,38
"2008","bella-nz",1,8,8
"2008","belowwater",1,1,1
"2008","belyykit",5,7,7
"2008","ben_pearse",1,4,4
"2008","benedictv",1,6,7
"2008","beneke",1,8,9
"2008","benet2006",2,2,2
"2008","benfreeman",5,9,9
"2008","benholloway",1,1,1
"2008","benjamin",14,31,31
"2008","benjamin94",5,6,6
"2008","benjamin_o",5,10,10
"2008","benkaddour",1,1,1
"2008","bennet",3,3,3
"2008","bennett_hennessey",8,12,12
"2008","benoitnabholz",27,75,76
"2008","beritgehrke",2,6,6
"2008","berkshirenaturalist",2,2,2
"2008","bernardo_segura",1,1,1
"2008","bernardomarino",2,2,2
"2008","bernardpicton",13,88,103
"2008","bernerjc",1,1,1
"2008","bernie_condon",1,11,11
"2008","berserker",4,7,7
"2008","bertrand_peter",1,1,1
"2008","beryl_lee",1,8,8
"2008","beryl_wayatt",1,2,2
"2008","bethinbrowncounty",2,2,2
"2008","bethpratt1",1,1,1
"2008","beto",3,5,5
"2008","betootero",2,2,2
"2008","bettine",1,4,4
"2008","betto0222",1,2,3
"2008","beverley_ayers",1,1,1
"2008","beverley_johnston",1,11,11
"2008","beverley_reid",1,2,2
"2008","bevwigney",19,40,41
"2008","bhallberg",1,1,1
"2008","bharding81",2,2,2
"2008","bheitzman",15,36,39
"2008","bhekisisa",7,12,12
"2008","bholthuis",2,14,25
"2008","biancasicich",1,1,1
"2008","biddy",1,3,3
"2008","bighornshaver",2,4,4
"2008","bigkage",1,1,1
"2008","bignonia",6,35,40
"2008","bigphilmd",1,1,1
"2008","bigtoothfilms",3,4,4
"2008","bikashdas",1,1,1
"2008","bill-nz",5,5,5
"2008","bill_and_anne",1,6,6
"2008","bill_wheeler",1,3,3
"2008","billarbon",5,4,5
"2008","billd_jr",1,4,5
"2008","billicbugslucas",3,3,3
"2008","billmiky",1,2,2
"2008","billreynolds",4,4,4
"2008","billyteels",1,1,1
"2008","billyverde",1,1,1
"2008","bindya",6,8,11
"2008","biogeek",8,12,12
"2008","biolerickgalvez",1,1,1
"2008","biolsamuel",1,1,1
"2008","bioquima",4,4,4
"2008","biosam",3,7,7
"2008","birdchuvashia",50,276,416
"2008","birder",1,1,1
"2008","birderbb",1,1,1
"2008","birdernaturalist",8,71,80
"2008","birdexplorers",2,6,6
"2008","birdfly",73,125,222
"2008","birdgal5",29,65,68
"2008","birdizlife",6,8,8
"2008","birdmanuk68",3,4,4
"2008","birds485",1,1,1
"2008","birdseed",1,2,2
"2008","bjones7777",1,1,1
"2008","bjorn",1,1,1
"2008","bjrn14",1,3,3
"2008","bjsmit",15,29,33
"2008","bkinder832",58,102,106
"2008","bkorol",56,356,421
"2008","blaircostelloe",8,16,33
"2008","blakesito",24,134,209
"2008","blambert",3,3,3
"2008","blancadog",16,55,65
"2008","blancherp",1,1,1
"2008","blantonassociates",1,2,2
"2008","blklab",13,21,22
"2008","blubayou",17,36,43
"2008","bluejay2007",1,1,1
"2008","blueturtle",9,10,11
"2008","bluevalhalla",1,1,2
"2008","bluewavechris",3,1,4
"2008","blundershot",4,4,4
"2008","bmtomotani",1,1,1
"2008","bmwbob",1,1,1
"2008","bnearhood",3,3,6
"2008","bob-dodge",2,2,2
"2008","bob301",1,1,1
"2008","bob777",3,3,3
"2008","bob_and_rose",1,12,12
"2008","bob_brockie",2,3,4
"2008","bobbybino",1,1,1
"2008","bobbyfingers",38,26,60
"2008","bobbyk",1,1,1
"2008","bobmcd",4,5,5
"2008","bobmeewis",1,1,1
"2008","bobonahill",2,3,3
"2008","bobroach",2,2,3
"2008","bobsams",10,13,13
"2008","bog_marsh",9,32,33
"2008","boggylaser",1,1,1
"2008","bogwalker",3,3,3
"2008","bohawg",3,8,8
"2008","boneu",4,6,8
"2008","boomersoonerintexas",1,1,1
"2008","borisbolshakov",56,72,98
"2008","borja-molina",2,5,5
"2008","bosh",17,37,43
"2008","botaneek",64,189,197
"2008","botanica",1,1,1
"2008","botanizer",1,1,1
"2008","botanygirl",1,1,1
"2008","botswanabugs",47,100,140
"2008","boyd",1,3,3
"2008","boz2",1,0,1
"2008","bradmoon",12,14,14
"2008","bradsmith",2,9,11
"2008","bradtoms",11,16,17
"2008","brain_and_susan",1,3,3
"2008","brandon1980",2,8,9
"2008","brandon285",1,1,1
"2008","brandonh1",4,7,7
"2008","brandonsideleauphotography",2,2,2
"2008","brenda05",1,0,1
"2008","brenda_coe",1,3,8
"2008","brenda_solon",1,1,1
"2008","brenda_wordsworth",1,3,3
"2008","brendandoogan",4,4,4
"2008","brent_steury",3,4,5
"2008","brentortego",1,1,1
"2008","brentturcotte",8,15,18
"2008","bretthodnett",7,9,9
"2008","brewbooks",35,206,284
"2008","brewer58",3,4,4
"2008","brian-nz",1,3,3
"2008","brian_pegler",1,3,3
"2008","brian_seymour",1,6,6
"2008","briancriter",1,1,1
"2008","briangooding",3,5,8
"2008","briankpenney",1,1,1
"2008","briannawalther",1,1,1
"2008","briansg",5,5,5
"2008","brianslaby",5,5,5
"2008","brianw",20,29,30
"2008","brianwilliams",1,1,1
"2008","briar",1,6,6
"2008","bride",1,11,11
"2008","bridget_stiles",1,4,4
"2008","brirosa",1,2,2
"2008","brithikesontario",10,17,17
"2008","brittany_couper",1,9,9
"2008","brittneybignall",1,1,1
"2008","brookedelossantos",1,1,1
"2008","brooksy",1,1,1
"2008","bruce_collett",1,3,3
"2008","bruce_mackereth",2,5,5
"2008","bruce_mck",1,3,3
"2008","bruce_shearer",1,2,2
"2008","bruce_strathern",1,3,3
"2008","brucen",15,21,24
"2008","brucethomson",2,3,3
"2008","brul",1,3,3
"2008","brunik",1,1,1
"2008","brunoornitologia",1,1,1
"2008","brushfreeman",17,21,21
"2008","bryan_laycock",1,12,12
"2008","bryan_tichborne",1,3,3
"2008","bryanadkins",1,1,1
"2008","bryanpfeiffer",2,4,4
"2008","bryanto",42,64,71
"2008","bryanwright",3,4,4
"2008","bstarzomski",10,19,23
"2008","btk",2,2,2
"2008","buan",7,18,20
"2008","budak",2,11,18
"2008","bugboy129",1,3,3
"2008","bugmanpwhite",1,1,1
"2008","bugsoundsjc",25,46,59
"2008","burgbirder",7,7,7
"2008","bushboy",23,32,32
"2008","bushman_k",3,3,3
"2008","bushmonkey140",4,4,4
"2008","butia2017",1,1,1
"2008","butterfly-caterpillar-mimicry",1,1,1
"2008","butterfly4",9,105,128
"2008","butterflyanj",1,1,1
"2008","buzihessen",1,1,1
"2008","buzzard",4,5,5
"2008","bvanderweide",7,41,41
"2008","bwessling",19,26,26
"2008","bwood708",1,2,2
"2008","bwyan",1,1,1
"2008","c_h_hemphill",3,17,17
"2008","c_michael_hogan",17,104,146
"2008","c_t_troup",1,10,16
"2008","cacomixtle",1,1,1
"2008","caitlincarthey",1,1,1
"2008","calamanthus",4,3,4
"2008","calinsdad",1,1,1
"2008","calopteryx",18,57,61
"2008","calum",1,5,5
"2008","camazine",3,3,3
"2008","cambala",3,9,9
"2008","cameron_alexander",1,11,11
"2008","camerondeckert",23,43,50
"2008","cameronrogers",1,0,1
"2008","camila-aoki",1,1,1
"2008","camilogarciaescobar",1,1,1
"2008","candicetalbot",29,113,127
"2008","canoe4nature",12,13,13
"2008","canopyphil",1,1,1
"2008","canyonbill",2,3,3
"2008","cape_fear",1,1,1
"2008","capn-ken",2,2,2
"2008","cappaert",15,14,15
"2008","captnemo",2,3,3
"2008","carabus123",16,26,27
"2008","caracol",2,11,12
"2008","carexobnupta",1,2,2
"2008","carey8",1,1,1
"2008","carita",30,84,84
"2008","carl-adam",3,6,6
"2008","carla_26",1,1,1
"2008","carlacorazza",12,29,32
"2008","carlacox",4,4,4
"2008","carland",3,3,3
"2008","carlavanw",27,94,100
"2008","carlespastor",42,55,66
"2008","carlfabre",1,1,1
"2008","carlos-daniel-amaya-matadamas",2,2,2
"2008","carlos180",2,6,6
"2008","carlos2",15,19,22
"2008","carlos_oliveira",1,1,1
"2008","carloschavez2",1,1,1
"2008","carlosmancilla",3,4,4
"2008","carlosmurias",4,4,4
"2008","carlosyaya77",2,2,2
"2008","carmelo_lopez",28,125,130
"2008","carmenbdelossantos",21,113,131
"2008","carmenor",3,6,6
"2008","carnifex",13,30,33
"2008","carol_keight",1,6,6
"2008","carol_sainsbury",1,2,2
"2008","carolannie1949",4,4,5
"2008","carolcummings",3,4,4
"2008","carole_stock",1,4,4
"2008","carole_williams",1,4,4
"2008","caroleriley",1,1,1
"2008","carolfoster",5,4,5
"2008","carolinaesteves2",4,5,5
"2008","carolinashepherd",7,7,8
"2008","caroline_johnston",1,8,8
"2008","caroline_jones",1,9,9
"2008","caroline_roche",1,8,8
"2008","carolynsouthward",1,1,1
"2008","carrieseltzer",18,61,73
"2008","carriewaterman",2,2,2
"2008","carroll",4,5,5
"2008","carucate",1,1,1
"2008","casandra1206",1,1,1
"2008","cascorreia",9,9,10
"2008","caseyg01",1,1,1
"2008","casseljs",4,8,8
"2008","cassini18",4,4,4
"2008","castanea",6,7,7
"2008","cat64fish",3,4,4
"2008","catabbott",4,4,4
"2008","catastrophix",1,1,1
"2008","catenatus",1,5,5
"2008","cathboy",4,5,5
"2008","catherine_law",1,6,6
"2008","catherineklatt",1,1,1
"2008","catherwoods",4,7,7
"2008","cathy_mccoll",1,1,1
"2008","cathyp",13,24,26
"2008","catrijn",7,10,11
"2008","catriona3",1,1,1
"2008","caudata",1,1,1
"2008","cavemander17",4,9,9
"2008","cayax",6,7,7
"2008","caymannature",3,3,3
"2008","cbruner",2,3,4
"2008","cbuelow45",3,3,3
"2008","ccfisher",14,22,28
"2008","cclaborn",1,1,1
"2008","cclborneo",20,23,23
"2008","ccontreras",1,1,1
"2008","cdenning",2,4,4
"2008","cdorsay",4,5,5
"2008","cdquock",1,3,3
"2008","cebalrai",1,1,1
"2008","cecilia_vincent",1,2,2
"2008","cedarleaf",4,8,9
"2008","cedricmondy",5,6,6
"2008","cefero",9,9,12
"2008","cefox",1,1,1
"2008","ceinwen_rees",1,9,20
"2008","celesta",2,8,8
"2008","celestihel",7,15,16
"2008","cenote",4,5,5
"2008","cesarcastillo",7,18,19
"2008","cesarlba",2,2,2
"2008","cesarpedrini",3,3,3
"2008","cesarpollo5",12,22,23
"2008","cgates326",1,1,1
"2008","cgbb2004",1,1,1
"2008","cgcbosque",134,134,393
"2008","cgritz",3,3,3
"2008","cgrosete",1,2,2
"2008","chan-quijano",1,1,1
"2008","chanddgreen",3,5,5
"2008","chaneybot",23,96,101
"2008","chango",1,1,1
"2008","chano",1,1,1
"2008","charles_stirton",24,129,173
"2008","charleshappell",2,19,29
"2008","charley",10,31,31
"2008","charlie",11,31,34
"2008","charlie1956",1,1,1
"2008","charliefarrell2",1,3,3
"2008","charliev",1,1,1
"2008","charlotte_and_noel",1,6,6
"2008","charlottewatsonsanders",1,1,1
"2008","charro",2,2,2
"2008","chartuso",11,10,11
"2008","chela",1,1,1
"2008","chelsea_thompson",1,1,1
"2008","chepis-jrf",1,1,1
"2008","cherriecorey",1,1,1
"2008","cherrielee",1,2,2
"2008","chia",14,38,41
"2008","chiao23",1,1,1
"2008","chiaraopal",1,1,1
"2008","chiefredearth",6,5,6
"2008","chimu",4,5,5
"2008","chinaberryhuang",1,1,1
"2008","chipperatl",1,1,1
"2008","chiriria",2,2,2
"2008","chirosphera",1,1,1
"2008","chohwahye",1,1,1
"2008","choi_byung_jin",1,1,1
"2008","chonhang",3,3,3
"2008","choomengfoo",1,2,2
"2008","chris-sergeant",2,2,2
"2008","chris971",1,1,1
"2008","chris_and_pat",1,3,3
"2008","chris_earle",1,1,1
"2008","chris_east",1,4,4
"2008","chris_fowles",1,3,3
"2008","chris_hass",5,13,13
"2008","chris_james",1,14,14
"2008","chris_lovell",1,14,14
"2008","chris_nelson",2,4,4
"2008","chris_verstappen",1,2,2
"2008","chris_wahlberg",12,73,75
"2008","chrisdellith",1,1,1
"2008","chrisfreeland",1,1,1
"2008","chrismoody",15,18,20
"2008","chrismorse",10,19,23
"2008","chrispmeyer",1,1,1
"2008","chrisrohrer",4,5,5
"2008","christian-labulleduried",1,1,1
"2008","christian248",1,1,1
"2008","christian403",1,2,2
"2008","christian77amador",1,1,1
"2008","christianlangner",6,19,19
"2008","christine123",160,337,566
"2008","christine_kean",1,2,2
"2008","christine_pinfold",1,2,2
"2008","christophe_g",12,14,14
"2008","christopher_surman",1,6,6
"2008","christophereliot",1,1,1
"2008","christopherhampson",25,35,35
"2008","christophermayhew",3,3,3
"2008","christophert",1,1,1
"2008","chrisvanswaay",3,8,9
"2008","chrisvt",1,1,1
"2008","chriswbrown",2,2,2
"2008","chuck-nz",1,8,8
"2008","chuckandtimmy",8,10,10
"2008","chunmeiwan",1,1,1
"2008","churilovam",4,14,14
"2008","chuslandeira",1,1,1
"2008","chutkat",1,1,1
"2008","cichlidmike",2,2,2
"2008","cigarsdirect",1,0,1
"2008","cindylcobb5",3,4,4
"2008","cindylemon",1,1,1
"2008","cintylee",26,51,66
"2008","circatari",19,44,45
"2008","cjlewis",1,1,1
"2008","cjlloyd",3,3,3
"2008","cjustus320",1,1,1
"2008","ck2az",1,1,1
"2008","clag",3,3,3
"2008","claire_galilee",1,5,5
"2008","clara-c",6,15,17
"2008","clare_mk",3,3,3
"2008","claremateke",3,2,3
"2008","claritaalicia",1,1,1
"2008","clauden",14,32,33
"2008","claudiacrcampos",2,3,4
"2008","claudiakomesu",11,78,96
"2008","claudio_f",1,1,1
"2008","claudioflamigni",7,13,14
"2008","clauslunde",1,1,1
