"year","lat_bin","lon_bin","life_stage","scientific_name","n"
2017,29,-83,"adult","Hypoprepia fucosa",10
2017,29,-83,"adult","Lochmaeus manteo",12
2017,29,-83,"adult","Marimatha nigrofimbria",12
2017,29,-83,"adult","Polygrammate hebraeicum",23
2017,29,-83,"adult","Spragueia onagrus",11
2017,29,-83,"adult","Syntomeida epilais",22
2017,29,-83,"adult","Utetheisa ornatrix",15
2017,29,-83,"caterpillar","Hypercompe scribonia",10
2017,29,-83,"caterpillar","Orgyia detrita",11
2017,29,-81,"adult","Empyreuma pugione",18
2017,29,-81,"adult","Syntomeida epilais",14
2017,31,-99,"adult","Emarginea percara",10
2017,31,-99,"adult","Eubolina impartialis",10
2017,31,-99,"adult","Glena quinquelinearia",10
2017,31,-99,"adult","Lacinipolia laudabilis",10
2017,31,-99,"adult","Maliattha concinnimacula",10
2017,31,-99,"adult","Metria amella",10
2017,31,-99,"adult","Nemoria bifilata",10
2017,31,-99,"adult","Plusiodonta compressipalpis",10
2017,31,-97,"adult","Acronicta lepetita",12
2017,31,-97,"adult","Alypia octomaculata",17
2017,31,-97,"adult","Amyna stricta",10
2017,31,-97,"adult","Anicla infecta",44
2017,31,-97,"adult","Anticarsia gemmatalis",42
2017,31,-97,"adult","Apantesis arge",10
2017,31,-97,"adult","Ascalapha odorata",21
2017,31,-97,"adult","Bagisara repanda",12
2017,31,-97,"adult","Bleptina caradrinalis",14
2017,31,-97,"adult","Chlorochlamys chloroleucaria",39
2017,31,-97,"adult","Choephora fungorum",19
2017,31,-97,"adult","Chrysodeixis includens",21
2017,31,-97,"adult","Cisseps fulvicollis",25
2017,31,-97,"adult","Cisthene tenuifascia",29
2017,31,-97,"adult","Condica videns",11
2017,31,-97,"adult","Copivaleria grotei",10
2017,31,-97,"adult","Costaconvexa centrostrigaria",33
2017,31,-97,"adult","Cyclophora nanaria",21
2017,31,-97,"adult","Diastema tigris",11
2017,31,-97,"adult","Digrammia atrofasciata",14
2017,31,-97,"adult","Elaphria chalcedonia",23
2017,31,-97,"adult","Emarginea percara",40
2017,31,-97,"adult","Estigmene acrea",29
2017,31,-97,"adult","Eubaphe unicolor",24
2017,31,-97,"adult","Eubolina impartialis",18
2017,31,-97,"adult","Eupithecia miserulata",32
2017,31,-97,"adult","Feltia subterranea",37
2017,31,-97,"adult","Galgula partita",50
2017,31,-97,"adult","Glena quinquelinearia",14
2017,31,-97,"adult","Glenoides texanaria",18
2017,31,-97,"adult","Goniapteryx servia",14
2017,31,-97,"adult","Hammaptera parinotata",16
2017,31,-97,"adult","Helicoverpa zea",23
2017,31,-97,"adult","Hypena scabra",118
2017,31,-97,"adult","Hypercompe scribonia",57
2017,31,-97,"adult","Hyphantria cunea",11
2017,31,-97,"adult","Hypoprepia fucosa",23
2017,31,-97,"adult","Idia aemula",10
2017,31,-97,"adult","Ilexia intractata",11
2017,31,-97,"adult","Iridopsis defectaria",34
2017,31,-97,"adult","Isogona tenuis",33
2017,31,-97,"adult","Lacinipolia erecta",18
2017,31,-97,"adult","Lacinipolia laudabilis",27
2017,31,-97,"adult","Leptostales pannaria",36
2017,31,-97,"adult","Leucania incognita",14
2017,31,-97,"adult","Lycia ypsilon",11
2017,31,-97,"adult","Lycomorpha pholus",15
2017,31,-97,"adult","Magusa divaricata",19
2017,31,-97,"adult","Maliattha concinnimacula",18
2017,31,-97,"adult","Maliattha synochitis",38
2017,31,-97,"adult","Marimatha nigrofimbria",30
2017,31,-97,"adult","Melipotis acontioides",19
2017,31,-97,"adult","Melipotis cellaris",44
2017,31,-97,"adult","Melipotis indomita",63
2017,31,-97,"adult","Melipotis jucunda",17
2017,31,-97,"adult","Metria amella",31
2017,31,-97,"adult","Mocis marcida",17
2017,31,-97,"adult","Morrisonia mucens",20
2017,31,-97,"adult","Mythimna unipuncta",34
2017,31,-97,"adult","Nematocampa resistaria",21
2017,31,-97,"adult","Ogdoconta cinereola",35
2017,31,-97,"adult","Orthodes furtiva",12
2017,31,-97,"adult","Orthonama obstipata",12
2017,31,-97,"adult","Palthis asopialis",10
2017,31,-97,"adult","Phaeoura quernaria",11
2017,31,-97,"adult","Phigalia strigataria",17
2017,31,-97,"adult","Phoberia atomaris",20
2017,31,-97,"adult","Phosphila miselioides",14
2017,31,-97,"adult","Pleuroprucha insulsaria",23
2017,31,-97,"adult","Plusiodonta compressipalpis",38
2017,31,-97,"adult","Ponometia candefacta",23
2017,31,-97,"adult","Ponometia erastrioides",12
2017,31,-97,"adult","Prochoerodes lineola",15
2017,31,-97,"adult","Psamatodes abydata",29
2017,31,-97,"adult","Rachiplusia ou",13
2017,31,-97,"adult","Schinia chrysellus",12
2017,31,-97,"adult","Schinia rivulosa",10
2017,31,-97,"adult","Schinia thoreaui",21
2017,31,-97,"adult","Spilosoma virginica",15
2017,31,-97,"adult","Spodoptera frugiperda",13
2017,31,-97,"adult","Spodoptera ornithogalli",25
2017,31,-97,"adult","Spragueia guttata",19
2017,31,-97,"adult","Spragueia jaguaralis",11
2017,31,-97,"adult","Synchlora frondaria",37
2017,31,-97,"adult","Tarache aprica",40
2017,31,-97,"adult","Tarache quadriplaga",12
2017,31,-97,"adult","Tetanolita mynesalis",37
2017,31,-97,"adult","Tripudia quadrifera",26
2017,31,-97,"adult","Xerociris wilsonii",17
2017,31,-97,"adult","Zale lunata",30
2017,31,-97,"caterpillar","Estigmene acrea",86
2017,31,-97,"caterpillar","Euchaetes egle",10
2017,31,-97,"caterpillar","Halysidota harrisii",10
2017,31,-97,"caterpillar","Hypercompe scribonia",26
2017,31,-97,"caterpillar","Hyphantria cunea",33
2017,31,-97,"caterpillar","Spilosoma virginica",13
2017,31,-95,"adult","Halysidota tessellaris",12
2017,31,-95,"adult","Hypena scabra",10
2017,31,-95,"adult","Hypercompe scribonia",16
2017,31,-95,"adult","Marimatha nigrofimbria",10
2017,31,-95,"caterpillar","Estigmene acrea",10
2017,31,-95,"caterpillar","Halysidota tessellaris",10
2017,31,-95,"caterpillar","Hyphantria cunea",12
2017,31,-91,"adult","Cosmosoma myrodora",20
2017,31,-91,"adult","Eudryas unio",10
2017,33,-97,"adult","Anicla infecta",57
2017,33,-97,"adult","Anticarsia gemmatalis",16
2017,33,-97,"adult","Ascalapha odorata",17
2017,33,-97,"adult","Caenurgina erechtea",18
2017,33,-97,"adult","Catocala maestosa",29
2017,33,-97,"adult","Chlorochlamys chloroleucaria",32
2017,33,-97,"adult","Choephora fungorum",11
2017,33,-97,"adult","Cisseps fulvicollis",82
2017,33,-97,"adult","Condica videns",22
2017,33,-97,"adult","Costaconvexa centrostrigaria",40
2017,33,-97,"adult","Elaphria chalcedonia",24
2017,33,-97,"adult","Elaphria grata",16
2017,33,-97,"adult","Emarginea percara",12
2017,33,-97,"adult","Episemasia cervinaria",10
2017,33,-97,"adult","Erastria cruentaria",11
2017,33,-97,"adult","Eubaphe unicolor",10
2017,33,-97,"adult","Eupithecia miserulata",21
2017,33,-97,"adult","Feltia subterranea",30
2017,33,-97,"adult","Galgula partita",70
2017,33,-97,"adult","Gluphisia septentrionis",17
2017,33,-97,"adult","Haematopis grataria",18
2017,33,-97,"adult","Helicoverpa zea",29
2017,33,-97,"adult","Hypena scabra",139
2017,33,-97,"adult","Hypercompe scribonia",33
2017,33,-97,"adult","Hyphantria cunea",15
2017,33,-97,"adult","Idia aemula",28
2017,33,-97,"adult","Idia americalis",14
2017,33,-97,"adult","Iridopsis defectaria",31
2017,33,-97,"adult","Isogona tenuis",20
2017,33,-97,"adult","Isturgia dislocaria",16
2017,33,-97,"adult","Lacinipolia erecta",24
2017,33,-97,"adult","Lacinipolia laudabilis",30
2017,33,-97,"adult","Leptostales pannaria",29
2017,33,-97,"adult","Leucania adjuta",12
2017,33,-97,"adult","Magusa divaricata",14
2017,33,-97,"adult","Maliattha synochitis",35
2017,33,-97,"adult","Marimatha nigrofimbria",54
2017,33,-97,"adult","Melanchroia chephise",15
2017,33,-97,"adult","Melipotis indomita",68
2017,33,-97,"adult","Melipotis jucunda",13
2017,33,-97,"adult","Mythimna unipuncta",40
2017,33,-97,"adult","Ogdoconta cinereola",29
2017,33,-97,"adult","Orthonama obstipata",10
2017,33,-97,"adult","Paleacrita vernata",30
2017,33,-97,"adult","Palthis asopialis",16
2017,33,-97,"adult","Panopoda carneicosta",21
2017,33,-97,"adult","Peridroma saucia",10
2017,33,-97,"adult","Phoberia atomaris",15
2017,33,-97,"adult","Pleuroprucha insulsaria",18
2017,33,-97,"adult","Plusiodonta compressipalpis",54
2017,33,-97,"adult","Ponometia erastrioides",23
2017,33,-97,"adult","Rachiplusia ou",21
2017,33,-97,"adult","Spodoptera ornithogalli",49
2017,33,-97,"adult","Spragueia dama",10
2017,33,-97,"adult","Synchlora frondaria",25
2017,33,-97,"adult","Tarache aprica",17
2017,33,-97,"adult","Tetanolita mynesalis",30
2017,33,-97,"adult","Tripudia quadrifera",11
2017,33,-97,"adult","Zale lunata",29
2017,33,-97,"caterpillar","Hypercompe scribonia",15
2017,33,-97,"caterpillar","Hyphantria cunea",39
2017,33,-97,"caterpillar","Schizura unicornis",11
2017,33,-97,"caterpillar","Spilosoma virginica",11
2017,33,-97,"caterpillar","Spodoptera ornithogalli",12
2017,33,-95,"adult","Caenurgia chloropha",15
2017,33,-95,"adult","Elaphria grata",19
2017,33,-95,"adult","Glenoides texanaria",12
2017,33,-95,"adult","Halysidota tessellaris",14
2017,33,-95,"adult","Hypena scabra",11
2017,33,-95,"adult","Hypoprepia fucosa",19
2017,33,-95,"adult","Lochmaeus bilineata",14
2017,33,-95,"adult","Marimatha nigrofimbria",20
2017,33,-95,"adult","Panopoda rufimargo",10
2017,33,-95,"adult","Phosphila miselioides",10
2017,33,-95,"adult","Spragueia leo",10
2017,33,-93,"adult","Hypena scabra",12
2017,33,-93,"adult","Spragueia leo",14
2017,33,-87,"adult","Achatia distincta",13
2017,33,-87,"adult","Agrotis ipsilon",11
2017,33,-87,"adult","Alsophila pometaria",18
2017,33,-87,"adult","Anavitrinella pampinaria",10
2017,33,-87,"adult","Anicla infecta",31
2017,33,-87,"adult","Caenurgia chloropha",15
2017,33,-87,"adult","Cissusa spadix",13
2017,33,-87,"adult","Cleora sublunaria",17
2017,33,-87,"adult","Costaconvexa centrostrigaria",19
2017,33,-87,"adult","Egira alternans",19
2017,33,-87,"adult","Elaphria chalcedonia",12
2017,33,-87,"adult","Elaphria grata",17
2017,33,-87,"adult","Epimecis hortaria",32
2017,33,-87,"adult","Eupithecia miserulata",16
2017,33,-87,"adult","Eutrapela clemataria",23
2017,33,-87,"adult","Feltia subterranea",10
2017,33,-87,"adult","Galgula partita",25
2017,33,-87,"adult","Halysidota",24
2017,33,-87,"adult","Hypagyrtis unipunctata",20
2017,33,-87,"adult","Hypena palparia",22
2017,33,-87,"adult","Hypena scabra",68
2017,33,-87,"adult","Hyperstrotia nana",19
2017,33,-87,"adult","Hyperstrotia secta",28
2017,33,-87,"adult","Idaea furciferata",14
2017,33,-87,"adult","Idia aemula",34
2017,33,-87,"adult","Idia americalis",28
2017,33,-87,"adult","Iridopsis defectaria",23
2017,33,-87,"adult","Iridopsis larvaria",11
2017,33,-87,"adult","Lochmaeus bilineata",11
2017,33,-87,"adult","Lomographa glomeraria",10
2017,33,-87,"adult","Macrurocampa marthesia",32
2017,33,-87,"adult","Marimatha nigrofimbria",11
2017,33,-87,"adult","Melanolophia canadaria",19
2017,33,-87,"adult","Mythimna unipuncta",13
2017,33,-87,"adult","Nadata gibbosa",38
2017,33,-87,"adult","Palthis asopialis",16
2017,33,-87,"adult","Panopoda carneicosta",26
2017,33,-87,"adult","Panopoda rufimargo",36
2017,33,-87,"adult","Phaeoura quernaria",16
2017,33,-87,"adult","Phigalia denticulata",42
2017,33,-87,"adult","Phigalia strigataria",16
2017,33,-87,"adult","Phoberia atomaris",48
2017,33,-87,"adult","Pleuroprucha insulsaria",28
2017,33,-87,"adult","Plusiodonta compressipalpis",15
2017,33,-87,"adult","Polygrammate hebraeicum",48
2017,33,-87,"adult","Psaphida rolandi",10
2017,33,-87,"adult","Schizura unicornis",12
2017,33,-87,"adult","Scopula limboundata",10
2017,33,-87,"adult","Spodoptera ornithogalli",12
2017,33,-87,"caterpillar","Halysidota tessellaris",13
2017,35,-97,"adult","Galgula partita",16
2017,35,-97,"adult","Isogona tenuis",10
2017,35,-95,"adult","Disclisioprocta stellata",12
2017,35,-95,"adult","Prochoerodes lineola",11
2017,35,-87,"adult","Agnorisma badinodis",12
2017,35,-87,"adult","Agrotis ipsilon",35
2017,35,-87,"adult","Agrotis malefida",11
2017,35,-87,"adult","Anicla infecta",21
2017,35,-87,"adult","Anticarsia gemmatalis",43
2017,35,-87,"adult","Athetis tarda",14
2017,35,-87,"adult","Chrysodeixis includens",12
2017,35,-87,"adult","Costaconvexa centrostrigaria",15
2017,35,-87,"adult","Disclisioprocta stellata",14
2017,35,-87,"adult","Elaphria chalcedonia",39
2017,35,-87,"adult","Elaphria grata",18
2017,35,-87,"adult","Galgula partita",23
2017,35,-87,"adult","Glenoides texanaria",10
2017,35,-87,"adult","Hypena scabra",27
2017,35,-87,"adult","Idia aemula",37
2017,35,-87,"adult","Idia americalis",44
2017,35,-87,"adult","Marimatha nigrofimbria",21
2017,35,-87,"adult","Mocis latipes",14
2017,35,-87,"adult","Mocis marcida",13
2017,35,-87,"adult","Mythimna unipuncta",30
2017,35,-87,"adult","Orthonama obstipata",10
2017,35,-87,"adult","Palthis asopialis",10
2017,35,-87,"adult","Panopoda carneicosta",14
2017,35,-87,"adult","Pleuroprucha insulsaria",21
2017,35,-87,"adult","Spodoptera dolichos",16
2017,35,-87,"adult","Spodoptera ornithogalli",13
2017,35,-87,"adult","Sunira bicolorago",33
2017,35,-87,"adult","Tetanolita mynesalis",22
2017,35,-87,"adult","Zale lunata",15
2017,35,-85,"adult","Epimecis hortaria",17
2017,35,-85,"caterpillar","Halysidota tessellaris",14
2017,35,-83,"adult","Agrotis ipsilon",16
2017,35,-83,"adult","Allotria elonympha",10
2017,35,-83,"adult","Anathix ralla",11
2017,35,-83,"adult","Anavitrinella pampinaria",13
2017,35,-83,"adult","Athetis tarda",14
2017,35,-83,"adult","Biston betularia",12
2017,35,-83,"adult","Campaea perlata",16
2017,35,-83,"adult","Chrysodeixis includens",11
2017,35,-83,"adult","Cisthene plumbea",10
2017,35,-83,"adult","Clemensia albata",12
2017,35,-83,"adult","Costaconvexa centrostrigaria",10
2017,35,-83,"adult","Digrammia ocellinata",13
2017,35,-83,"adult","Egira alternans",13
2017,35,-83,"adult","Elaphria versicolor",10
2017,35,-83,"adult","Epimecis hortaria",27
2017,35,-83,"adult","Eudryas grata",21
2017,35,-83,"adult","Euparthenos nubilis",11
2017,35,-83,"adult","Hypena baltimoralis",13
2017,35,-83,"adult","Hypercompe scribonia",10
2017,35,-83,"adult","Idia americalis",12
2017,35,-83,"adult","Iridopsis larvaria",13
2017,35,-83,"adult","Lambdina fervidaria",14
2017,35,-83,"adult","Lascoria ambigualis",13
2017,35,-83,"adult","Leuconycta diphteroides",10
2017,35,-83,"adult","Macaria pustularia",11
2017,35,-83,"adult","Nadata gibbosa",15
2017,35,-83,"adult","Palthis asopialis",10
2017,35,-83,"adult","Pangrapta decoralis",11
2017,35,-83,"adult","Parallelia bistriaris",10
2017,35,-83,"adult","Plagodis alcoolaria",12
2017,35,-83,"adult","Ponometia erastrioides",10
2017,35,-83,"adult","Prochoerodes lineola",16
2017,35,-83,"adult","Protodeltote muscosula",11
2017,35,-83,"adult","Psaphida resumens",10
2017,35,-83,"adult","Redectis vitrea",10
2017,35,-83,"adult","Scopula limboundata",11
2017,35,-83,"caterpillar","Acronicta americana",18
2017,35,-83,"caterpillar","Euchaetes egle",10
2017,35,-83,"caterpillar","Halysidota tessellaris",15
2017,35,-83,"caterpillar","Hyphantria cunea",20
2017,35,-83,"caterpillar","Orgyia definita",10
2017,35,-83,"caterpillar","Pyrrharctia isabella",20
2017,35,-81,"adult","Nadata gibbosa",10
2017,35,-79,"adult","Epimecis hortaria",17
2017,35,-79,"adult","Hypena baltimoralis",10
2017,35,-79,"adult","Hypena scabra",11
2017,35,-79,"adult","Scopula limboundata",11
2017,35,-79,"caterpillar","Acronicta americana",11
2017,35,-79,"caterpillar","Halysidota harrisii",18
2017,35,-79,"caterpillar","Halysidota tessellaris",13
2017,35,-79,"caterpillar","Hyphantria cunea",14
2017,35,-79,"caterpillar","Orgyia leucostigma",28
2017,37,-85,"adult","Dichorda iridaria",12
2017,37,-85,"adult","Euchlaena amoenaria",15
2017,37,-85,"adult","Marimatha nigrofimbria",15
2017,37,-85,"adult","Prochoerodes lineola",13
2017,37,-85,"adult","Schinia trifascia",11
2017,37,-85,"adult","Scopula limboundata",15
2017,37,-85,"adult","Spragueia leo",12
2017,37,-81,"caterpillar","Lophocampa caryae",13
2017,37,-79,"caterpillar","Halysidota tessellaris",11
2017,39,-91,"caterpillar","Halysidota tessellaris",10
2017,39,-85,"adult","Hypercompe scribonia",10
2017,39,-85,"caterpillar","Acronicta americana",12
2017,39,-85,"caterpillar","Euchaetes egle",19
2017,39,-85,"caterpillar","Halysidota tessellaris",10
2017,39,-85,"caterpillar","Hypercompe scribonia",10
2017,39,-85,"caterpillar","Hyphantria cunea",14
2017,39,-85,"caterpillar","Lophocampa caryae",11
2017,39,-85,"caterpillar","Pyrrharctia isabella",15
2017,39,-83,"adult","Hypercompe scribonia",10
2017,39,-83,"caterpillar","Euchaetes egle",16
2017,39,-83,"caterpillar","Halysidota tessellaris",14
2017,39,-79,"adult","Campaea perlata",21
2017,39,-79,"adult","Chytolita morbidalis",11
2017,39,-79,"adult","Cycnia tenera",13
2017,39,-79,"adult","Eudryas grata",14
2017,39,-79,"adult","Eusarca confusaria",10
2017,39,-79,"adult","Halysidota",13
2017,39,-79,"adult","Halysidota tessellaris",10
2017,39,-79,"adult","Hypena scabra",14
2017,39,-79,"adult","Hypercompe scribonia",21
2017,39,-79,"adult","Lacinipolia renigera",10
2017,39,-79,"adult","Nadata gibbosa",11
2017,39,-79,"adult","Noctua pronuba",10
2017,39,-79,"adult","Prochoerodes lineola",18
2017,39,-79,"adult","Pyrrharctia isabella",11
2017,39,-79,"adult","Scopula limboundata",11
2017,39,-79,"adult","Symmerista",10
2017,39,-79,"caterpillar","Euchaetes egle",18
2017,39,-79,"caterpillar","Halysidota tessellaris",15
2017,39,-79,"caterpillar","Lophocampa caryae",26
2017,39,-79,"caterpillar","Pyrrharctia isabella",14
2017,39,-77,"adult","Agnorisma badinodis",18
2017,39,-77,"adult","Agrotis ipsilon",18
2017,39,-77,"adult","Allotria elonympha",18
2017,39,-77,"adult","Alypia octomaculata",10
2017,39,-77,"adult","Anavitrinella pampinaria",11
2017,39,-77,"adult","Apantesis phalerata",14
2017,39,-77,"adult","Campaea perlata",30
2017,39,-77,"adult","Choephora fungorum",44
2017,39,-77,"adult","Chrysodeixis includens",11
2017,39,-77,"adult","Chytolita morbidalis",17
2017,39,-77,"adult","Chytonix palliatricula",11
2017,39,-77,"adult","Cisseps fulvicollis",29
2017,39,-77,"adult","Costaconvexa centrostrigaria",42
2017,39,-77,"adult","Cycnia tenera",40
2017,39,-77,"adult","Digrammia ocellinata",15
2017,39,-77,"adult","Elaphria grata",22
2017,39,-77,"adult","Epimecis hortaria",64
2017,39,-77,"adult","Eubaphe mendica",15
2017,39,-77,"adult","Eudryas grata",20
2017,39,-77,"adult","Eulithis",14
2017,39,-77,"adult","Eusarca confusaria",19
2017,39,-77,"adult","Eutrapela clemataria",19
2017,39,-77,"adult","Galgula partita",24
2017,39,-77,"adult","Glenoides texanaria",15
2017,39,-77,"adult","Haematopis grataria",12
2017,39,-77,"adult","Halysidota",24
2017,39,-77,"adult","Haploa clymene",18
2017,39,-77,"adult","Hypagyrtis unipunctata",26
2017,39,-77,"adult","Hypena baltimoralis",22
2017,39,-77,"adult","Hypena scabra",39
2017,39,-77,"adult","Hypercompe scribonia",55
2017,39,-77,"adult","Hyphantria cunea",16
2017,39,-77,"adult","Hypoprepia fucosa",12
2017,39,-77,"adult","Idia aemula",38
2017,39,-77,"adult","Idia americalis",22
2017,39,-77,"adult","Ilexia intractata",16
2017,39,-77,"adult","Iridopsis defectaria",18
2017,39,-77,"adult","Lacinipolia renigera",23
2017,39,-77,"adult","Lithacodia musta",13
2017,39,-77,"adult","Macaria aemulataria",10
2017,39,-77,"adult","Maliattha synochitis",12
2017,39,-77,"adult","Marimatha nigrofimbria",25
2017,39,-77,"adult","Melanolophia canadaria",21
2017,39,-77,"adult","Mythimna unipuncta",22
2017,39,-77,"adult","Nadata gibbosa",19
2017,39,-77,"adult","Nemoria bistriaria",13
2017,39,-77,"adult","Noctua pronuba",14
2017,39,-77,"adult","Orgyia leucostigma",15
2017,39,-77,"adult","Palthis asopialis",47
2017,39,-77,"adult","Pangrapta decoralis",16
2017,39,-77,"adult","Panopoda rufimargo",11
2017,39,-77,"adult","Parallelia bistriaris",24
2017,39,-77,"adult","Patalene olyzonaria",13
2017,39,-77,"adult","Phalaenophana pyramusalis",12
2017,39,-77,"adult","Pleuroprucha insulsaria",19
2017,39,-77,"adult","Polygrammate hebraeicum",19
2017,39,-77,"adult","Prochoerodes lineola",21
2017,39,-77,"adult","Protodeltote muscosula",24
2017,39,-77,"adult","Pyrrharctia isabella",40
2017,39,-77,"adult","Rivula propinqualis",10
2017,39,-77,"adult","Scopula limboundata",62
2017,39,-77,"adult","Spodoptera ornithogalli",12
2017,39,-77,"adult","Tetanolita floridana",10
2017,39,-77,"adult","Tetanolita mynesalis",23
2017,39,-77,"caterpillar","Acronicta americana",17
2017,39,-77,"caterpillar","Euchaetes egle",30
2017,39,-77,"caterpillar","Halysidota harrisii",23
2017,39,-77,"caterpillar","Halysidota tessellaris",38
2017,39,-77,"caterpillar","Hypercompe scribonia",40
2017,39,-77,"caterpillar","Hyphantria cunea",65
2017,39,-77,"caterpillar","Lophocampa caryae",16
2017,39,-77,"caterpillar","Orgyia leucostigma",41
2017,39,-77,"caterpillar","Pyrrharctia isabella",102
2017,39,-77,"caterpillar","Spilosoma virginica",29
2017,39,-75,"adult","Cisseps fulvicollis",15
2017,39,-75,"adult","Epimecis hortaria",10
2017,39,-75,"adult","Hypena scabra",11
2017,39,-75,"adult","Patalene olyzonaria",10
2017,39,-75,"adult","Scopula limboundata",12
2017,39,-75,"caterpillar","Halysidota tessellaris",10
2017,39,-75,"caterpillar","Hyphantria cunea",19
2017,39,-75,"caterpillar","Spilosoma virginica",11
2017,41,-87,"adult","Haematopis grataria",15
2017,41,-87,"caterpillar","Acronicta americana",10
2017,41,-87,"caterpillar","Euchaetes egle",25
2017,41,-87,"caterpillar","Lophocampa caryae",26
2017,41,-87,"caterpillar","Orgyia leucostigma",10
2017,41,-83,"adult","Cisseps fulvicollis",10
2017,41,-83,"adult","Hypena scabra",12
2017,41,-83,"adult","Prochoerodes lineola",10
2017,41,-83,"caterpillar","Euchaetes egle",13
2017,41,-83,"caterpillar","Lophocampa caryae",14
2017,41,-81,"adult","Acronicta americana",12
2017,41,-81,"adult","Campaea perlata",17
2017,41,-81,"adult","Cisseps fulvicollis",30
2017,41,-81,"adult","Ctenucha virginica",11
2017,41,-81,"adult","Eudryas unio",11
2017,41,-81,"adult","Hypercompe scribonia",18
2017,41,-81,"adult","Palthis asopialis",13
2017,41,-81,"adult","Prochoerodes lineola",13
2017,41,-81,"adult","Pyrrharctia isabella",26
2017,41,-81,"adult","Scopula limboundata",22
2017,41,-81,"caterpillar","Euchaetes egle",57
2017,41,-81,"caterpillar","Halysidota tessellaris",17
2017,41,-81,"caterpillar","Hypercompe scribonia",15
2017,41,-81,"caterpillar","Lophocampa caryae",48
2017,41,-81,"caterpillar","Pyrrharctia isabella",31
2017,41,-81,"caterpillar","Spilosoma virginica",13
2017,41,-79,"adult","Acronicta americana",14
2017,41,-79,"adult","Agnorisma badinodis",15
2017,41,-79,"adult","Anavitrinella pampinaria",10
