Address,Number to Delete
https://caterpillarscount.unc.edu/images/arthropods/43746.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/43747.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/57941.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/58908.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/60138.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/60616.jpeg,-3
https://caterpillarscount.unc.edu/images/arthropods/62138.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/62190.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/62177.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/62179.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/62180.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/62181.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/62845.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/62846.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/62847.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/63109.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/63110.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/63487.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/63488.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/63507.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/63492.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/63495.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/63496.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/63516.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/63499.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/63501.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/64034.jpeg,-3
https://caterpillarscount.unc.edu/images/arthropods/64749.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/66980.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/67000.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/67027.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/6722.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/6726.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/71611.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/71613.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/68872.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/72339.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/8322.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/8324.jpeg,-2
